time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,0.031720,0.007808,-0.976488,1.33,-2.94,0.42
0.020,0.029768,0.007808,-0.973560,1.68,-3.01,0.42
0.040,0.034648,0.008784,-0.977464,1.54,-3.08,0.14
0.060,0.033672,0.005856,-0.982344,1.75,-3.22,0.00
0.080,0.032696,0.002440,-0.975512,1.40,-2.94,-0.14
0.100,0.034160,-0.001464,-0.981856,1.47,-2.80,-2.45
0.120,0.036112,-0.006344,-0.984296,2.03,-3.01,-5.39
0.140,0.084912,-0.100528,-0.979416,3.29,-2.38,-6.58
0.160,0.005368,0.042944,-0.982832,0.14,-3.29,-4.13
0.180,0.027328,-0.051728,-0.977464,3.15,-2.24,-23.10
0.200,0.026352,-0.153232,-0.980880,3.43,-3.43,-16.45
0.220,-0.020008,-0.079544,-0.963800,1.89,-3.08,-13.37
0.240,0.007808,0.024400,-0.973560,1.12,-2.52,-22.89
0.260,0.060512,0.099064,-0.984784,3.29,-3.08,-35.84
0.280,0.023912,-0.035136,-0.977952,3.71,-3.64,-29.61
0.300,0.008296,0.075152,-0.974048,-0.21,-1.33,-25.76
0.320,0.022936,0.061976,-0.979416,-0.14,-2.59,9.31
0.340,0.031232,0.020496,-0.974536,0.56,-2.45,15.89
0.360,0.048800,-0.008784,-0.981368,1.89,-2.52,6.02
0.380,0.535336,0.410408,-0.960384,0.42,-1.75,-7.35
0.400,0.170312,0.141032,-0.971608,1.54,-2.38,-14.00
0.420,0.672464,0.473360,-0.954040,-4.76,4.34,-2.03
0.440,-0.272792,-0.074664,-0.968680,4.97,-4.83,-49.84
0.460,-0.213256,0.468968,-0.973560,18.55,-4.83,-158.62
0.480,2.153056,2.932392,-1.249280,-12.04,-13.09,-312.97
0.500,0.192760,0.225944,-1.270264,48.65,-45.64,-296.87
0.520,-0.000488,-0.006832,-1.241960,5.88,7.91,-303.24
0.540,0.014152,0.001464,-0.948672,6.79,0.21,-303.52
0.560,0.020008,0.004392,-0.939888,9.17,-1.61,-302.96
0.580,0.024888,0.002440,-0.964288,7.28,-1.89,-302.61
0.600,0.029768,-0.002440,-0.982832,8.40,-1.82,-302.19
0.620,0.031232,0.001952,-0.974048,7.91,-2.10,-301.84
0.640,0.031232,0.004392,-0.982344,8.82,-0.21,-301.42
0.660,0.033184,0.006832,-0.979904,8.96,-2.17,-301.00
0.680,0.031720,0.008784,-0.986736,7.35,-1.54,-300.72
0.700,0.034648,0.008784,-0.974536,9.17,-3.50,-300.23
0.720,0.034160,0.010248,-0.971120,7.84,-1.82,-300.02
0.740,0.038064,0.012688,-0.967216,9.03,-3.01,-299.67
0.760,0.035136,0.013176,-0.973072,7.21,-1.75,-299.39
0.780,0.035136,0.014152,-0.968192,9.03,-1.54,-298.97
0.800,0.033184,0.013176,-0.968680,7.70,-1.40,-298.83
0.820,0.034648,0.014152,-0.963312,8.75,-1.47,-298.34
0.840,0.037576,0.018056,-0.966240,6.86,-1.26,-298.13
0.860,0.038552,0.018544,-0.976000,8.40,-1.75,-297.64
0.880,0.036600,0.020008,-0.975512,8.82,-3.36,-297.43
0.900,0.038552,0.022448,-0.980880,9.73,-4.55,-297.01
0.920,0.033672,0.022936,-0.965752,7.91,-1.26,-296.87
0.940,0.036600,0.024400,-0.972096,9.17,-3.71,-296.52
0.960,0.032696,0.026352,-0.970144,7.84,-0.35,-296.10
0.980,0.031720,0.025376,-0.975512,8.96,-2.38,-295.61
1.000,0.034648,0.024888,-0.974536,7.98,-2.38,-295.47
1.020,0.031720,0.028304,-0.972096,9.73,-2.87,-294.91
1.040,0.030744,0.026840,-0.970632,6.86,-2.59,-294.77
1.060,0.034160,0.024888,-0.968192,8.26,-1.47,-294.28
1.080,0.029768,0.030256,-0.964288,7.98,-3.43,-294.14
1.100,0.025376,0.028304,-0.966240,8.54,-0.98,-293.58
1.120,0.026352,0.028792,-0.969656,7.77,-2.94,-293.44
1.140,0.024400,0.029280,-0.964288,8.61,-1.40,-292.95
1.160,0.021960,0.032696,-0.974048,7.98,-2.24,-292.67
1.180,0.020496,0.033184,-0.978928,8.82,-1.47,-292.32
1.200,0.022936,0.028792,-0.970632,6.72,-2.59,-291.97
1.220,0.019032,0.032208,-0.978440,9.03,-1.61,-291.55
