time_s,ax1_g,ay1_g,az1_g,gx1_dps,gy1_dps,gz1_dps,ax2_g,ay2_g,az2_g,gx2_dps,gy2_dps,gz2_dps
0.000,0.010736,0.008296,-0.971608,1.05,-2.52,0.21,-0.033672,-0.015616,-1.008696,1.54,-3.01,-0.35
0.020,0.006832,0.003416,-0.983320,0.98,-2.31,0.35,-0.036600,-0.014640,-1.006256,1.19,-3.01,-0.42
0.040,0.008296,-0.000976,-0.972584,1.47,-3.08,0.42,-0.035136,-0.018056,-1.003328,1.40,-2.24,-0.42
0.060,0.010248,-0.001952,-0.973560,1.61,-3.64,0.70,-0.032208,-0.017080,-1.009184,1.40,-2.59,-0.49
0.080,0.008784,0.007808,-0.982832,2.03,-3.85,0.21,-0.037088,-0.013664,-1.003328,1.33,-2.73,-0.42
0.100,0.014640,-0.013664,-0.969168,2.38,-4.48,1.75,-0.037576,-0.013664,-0.999424,1.33,-3.50,-0.42
0.120,0.007808,-0.006832,-0.964776,0.00,-3.29,5.46,-0.033672,-0.015616,-1.011136,1.33,-3.43,-0.49
0.140,-0.002928,0.034160,-0.976488,0.98,-2.66,1.12,-0.038552,-0.013664,-1.004792,1.33,-3.01,-0.49
0.160,0.012200,-0.010736,-0.975024,1.61,-3.57,0.00,-0.034160,-0.014152,-1.003328,1.40,-2.80,-0.42
0.180,0.010736,0.000488,-0.973560,1.68,-3.99,1.40,-0.035136,-0.014152,-1.008696,1.33,-2.87,-0.35
0.200,0.021472,0.005856,-0.990152,3.01,-4.48,2.24,-0.038064,-0.014640,-1.002840,1.19,-2.73,-0.28
0.220,-0.010248,-0.002440,-0.966728,1.05,-2.87,1.89,-0.033184,-0.014640,-1.006256,1.33,-2.52,-0.42
0.240,0.004880,0.014152,-0.973072,0.77,-3.22,-0.14,-0.034160,-0.013664,-1.006744,1.33,-2.66,-0.42
0.260,0.004880,-0.000488,-0.971608,0.70,-1.12,0.49,-0.038064,-0.014640,-0.999424,1.40,-2.66,-0.42
0.280,0.009272,0.000976,-0.975512,1.05,-1.68,0.21,-0.035624,-0.014152,-1.008208,1.47,-3.36,-0.42
0.300,0.007808,0.003416,-0.973072,1.19,-2.38,0.35,-0.037576,-0.015128,-1.005768,1.26,-2.94,-0.42
0.320,0.010248,0.002440,-0.980880,1.33,-3.01,0.49,-0.036112,-0.015616,-1.003816,1.40,-3.15,-0.42
0.340,0.008784,-0.001952,-0.972584,1.47,-3.71,0.28,-0.035624,-0.016104,-1.008696,1.19,-3.15,-0.49
0.360,0.008296,0.003904,-0.973072,1.12,-3.36,0.14,-0.036112,-0.018544,-1.005280,1.33,-3.01,-0.35
0.380,0.009272,0.000976,-0.970144,0.49,-0.91,0.28,-0.035624,-0.015616,-1.008208,1.40,-2.17,-0.35
0.400,0.005368,0.016104,-0.977464,0.42,-1.33,-0.77,-0.035136,-0.010736,-1.006744,1.26,-2.52,-0.42
0.420,0.007808,0.014152,-0.977464,1.19,-2.03,-4.13,-0.034160,-0.015616,-1.006256,1.33,-2.66,-0.35
0.440,0.011712,-0.008296,-0.973560,1.89,-2.73,-3.36,-0.034648,-0.014152,-1.003328,1.47,-3.08,-0.42
0.460,0.015128,-0.014152,-0.976000,0.70,-2.73,0.63,-0.035136,-0.015128,-1.007720,1.54,-3.22,-0.42
0.480,0.008784,-0.000976,-0.971120,0.14,-1.47,-0.42,-0.038064,-0.016592,-1.006256,1.47,-2.87,-0.35
0.500,0.013664,-0.003904,-0.973560,0.91,-2.45,-0.49,-0.037576,-0.014640,-1.004792,1.47,-2.66,-0.42
0.520,0.011224,0.003904,-0.977464,0.70,-2.59,0.77,-0.034160,-0.015128,-1.007232,1.26,-2.87,-0.42
0.540,0.009272,0.002440,-0.973072,1.19,-2.73,0.14,-0.035624,-0.013664,-1.002840,1.26,-2.87,-0.42
0.560,0.009272,0.007320,-0.977952,1.61,-2.94,0.49,-0.036112,-0.016592,-1.007720,1.19,-2.52,-0.42
0.580,0.011224,0.000488,-0.976488,1.96,-3.43,0.63,-0.035136,-0.014640,-1.006744,1.26,-2.73,-0.42
0.600,0.008296,0.001952,-0.976000,1.47,-3.29,0.35,-0.035136,-0.016592,-1.003816,1.54,-3.15,-0.35
0.620,0.008784,0.002440,-0.970632,0.70,-2.59,0.21,-0.036600,-0.015616,-1.007720,1.54,-3.15,-0.42
0.640,0.010248,0.004392,-0.974536,1.12,-2.52,0.42,-0.035136,-0.012200,-1.004792,1.61,-3.01,-0.42
0.660,0.009760,0.003904,-0.975512,1.33,-2.66,0.42,-0.034160,-0.014640,-1.008696,1.40,-2.80,-0.35
0.680,0.012200,0.002440,-0.972096,0.98,-2.59,0.14,-0.037088,-0.017568,-1.008696,1.40,-2.45,-0.35
0.700,0.010248,0.005368,-0.973072,1.12,-3.01,-0.07,-0.035136,-0.013664,-1.010160,1.40,-2.59,-0.49
0.720,0.007808,0.010736,-0.973072,1.26,-3.22,-0.91,-0.037088,-0.013664,-1.007232,1.40,-2.59,-0.42
0.740,0.006344,0.024400,-0.972584,1.26,-2.94,-3.92,-0.033672,-0.013176,-1.006256,1.26,-2.45,-0.35
0.760,0.007320,0.021472,-0.976488,1.05,-2.66,-7.07,-0.034648,-0.015128,-1.005768,1.26,-2.52,-0.42
0.780,0.009760,0.010248,-0.976000,1.68,-2.59,-9.59,-0.034648,-0.013664,-1.002840,1.19,-3.08,-0.42
