time_s,ax1_g,ay1_g,az1_g,gx1_dps,gy1_dps,gz1_dps,ax2_g,ay2_g,az2_g,gx2_dps,gy2_dps,gz2_dps
0.000,-0.141032,0.001464,-0.968192,1.05,-2.38,0.49,-0.038552,-0.012688,-1.008696,1.40,-2.94,-0.42
0.020,-0.138104,0.004392,-0.968192,1.40,-2.52,0.42,-0.036600,-0.013664,-1.001864,1.33,-2.66,-0.42
0.040,-0.134688,-0.001952,-0.957944,1.26,-3.08,0.49,-0.034160,-0.018056,-1.010160,1.33,-2.87,-0.42
0.060,-0.137616,-0.000488,-0.968192,1.05,-3.29,0.28,-0.036600,-0.013664,-1.004792,1.47,-2.87,-0.35
0.080,-0.136640,0.001464,-0.968680,1.33,-3.29,0.56,-0.036600,-0.014152,-1.002352,1.47,-2.87,-0.35
0.100,-0.141520,0.001952,-0.966728,1.54,-3.71,0.42,-0.037088,-0.016104,-1.008696,1.40,-2.94,-0.35
0.120,-0.143472,-0.001952,-0.970144,1.33,-3.36,0.70,-0.039040,-0.016592,-1.005768,1.33,-2.80,-0.42
0.140,-0.142496,0.001464,-0.968680,1.40,-2.87,0.77,-0.040016,-0.015128,-1.004792,1.47,-2.87,-0.35
0.160,-0.141032,-0.000976,-0.963312,1.61,-2.66,1.05,-0.035624,-0.014152,-1.007232,1.40,-2.94,-0.35
0.180,-0.139080,-0.000488,-0.970632,1.61,-2.24,1.61,-0.035136,-0.014640,-1.006256,1.47,-2.87,-0.42
0.200,-0.138104,0.001464,-0.967216,1.47,-2.94,1.47,-0.033672,-0.017080,-1.008208,1.47,-2.73,-0.35
0.220,-0.134688,0.001952,-0.965264,1.26,-2.94,1.61,-0.032696,-0.014640,-1.005280,1.40,-2.87,-0.35
0.240,-0.139080,0.003904,-0.971608,1.33,-3.50,0.98,-0.033672,-0.015616,-1.004304,1.26,-3.01,-0.35
0.260,-0.138592,0.003904,-0.969168,1.40,-3.36,0.21,-0.038552,-0.015128,-1.007720,1.40,-2.94,-0.49
0.280,-0.140544,-0.000976,-0.962824,1.26,-3.08,0.63,-0.039040,-0.016104,-1.004792,1.26,-3.01,-0.28
0.300,-0.141032,0.000976,-0.968680,1.47,-3.22,0.91,-0.040992,-0.013664,-1.007232,1.40,-2.87,-0.42
0.320,-0.142984,0.007320,-0.968680,1.54,-3.57,0.63,-0.039528,-0.014640,-1.008208,1.40,-2.80,-0.35
0.340,-0.138104,-0.008296,-0.966728,1.68,-3.78,0.98,-0.033672,-0.016104,-1.006744,1.47,-2.80,-0.42
0.360,-0.138592,-0.009760,-0.967216,1.68,-3.36,1.89,-0.036600,-0.018056,-1.007232,1.47,-2.80,-0.42
0.380,-0.137616,-0.006344,-0.968192,1.68,-3.36,4.06,-0.033184,-0.016104,-1.006744,1.54,-2.94,-0.42
0.400,-0.138592,0.018056,-0.963800,1.05,-2.66,3.15,-0.035624,-0.013664,-1.007232,1.54,-2.87,-0.42
0.420,-0.143472,0.003904,-0.970144,1.96,-2.24,-0.84,-0.037088,-0.017080,-1.003328,1.47,-2.73,-0.35
0.440,-0.143472,0.004880,-0.968680,1.05,-2.59,1.33,-0.040504,-0.016592,-1.003328,1.26,-2.80,-0.35
0.460,-0.144448,-0.009760,-0.966728,1.19,-2.80,-0.14,-0.040016,-0.013664,-1.004304,1.33,-2.94,-0.42
0.480,-0.139568,0.015128,-0.968192,0.98,-2.80,0.21,-0.039040,-0.015128,-1.008208,1.47,-2.94,-0.49
0.500,-0.140056,-0.006832,-0.967704,1.05,-2.94,0.70,-0.034648,-0.013664,-1.009672,1.40,-2.73,-0.35
0.520,-0.137128,0.004880,-0.971608,1.40,-2.52,-0.28,-0.036600,-0.018056,-1.007720,1.47,-2.73,-0.42
0.540,-0.136640,-0.002440,-0.963312,0.63,-2.10,0.42,-0.034648,-0.017568,-1.005768,1.40,-2.94,-0.42
0.560,-0.137128,0.001464,-0.963800,0.98,-2.45,-0.07,-0.036112,-0.012688,-1.008696,1.26,-2.80,-0.42
0.580,-0.142984,0.008296,-0.969656,1.40,-2.80,0.35,-0.037088,-0.016592,-1.003816,1.40,-2.80,-0.42
0.600,-0.142984,-0.000976,-0.966728,1.54,-3.08,0.21,-0.039040,-0.015128,-1.008696,1.40,-2.80,-0.42
0.620,-0.144936,0.002928,-0.973560,1.61,-3.29,0.42,-0.040016,-0.015616,-1.005280,1.40,-3.01,-0.49
0.640,-0.139568,-0.000488,-0.968192,1.47,-3.22,0.21,-0.039528,-0.013176,-1.005280,1.40,-2.66,-0.28
0.660,-0.140056,0.009760,-0.967704,0.91,-2.87,0.00,-0.035624,-0.016592,-1.009184,1.33,-2.66,-0.49
0.680,-0.138104,0.007320,-0.967704,1.12,-2.17,-1.75,-0.036600,-0.015616,-1.002840,1.47,-2.87,-0.35
0.700,-0.138592,0.005856,-0.966728,0.77,-2.31,-2.52,-0.035624,-0.016592,-1.006744,1.54,-2.87,-0.35
0.720,-0.140056,0.009272,-0.966240,0.42,-2.59,-3.92,-0.036600,-0.015616,-1.006744,1.33,-2.80,-0.42
0.740,-0.139080,-0.007808,-0.970144,1.26,-2.73,-4.06,-0.039040,-0.019520,-1.006744,1.40,-2.80,-0.35
0.760,-0.141032,-0.025376,-0.975024,1.26,-3.29,-0.07,-0.039528,-0.015616,-1.007232,1.47,-2.94,-0.42
0.780,-0.142496,0.015128,-0.967216,1.19,-2.87,-0.07,-0.037088,-0.016104,-1.005280,1.33,-2.87,-0.28
0.800,-0.139568,0.007808,-0.967216,0.77,-2.45,-1.12,-0.037576,-0.013664,-1.006744,1.33,-2.73,-0.42
0.820,-0.138592,0.003416,-0.967216,1.05,-2.59,-2.38,-0.035624,-0.016592,-1.006256,1.19,-3.01,-0.35
0.840,-0.137616,-0.007320,-0.969168,1.12,-2.66,-0.56,-0.035624,-0.018056,-1.005280,1.47,-2.94,-0.42
0.860,-0.135176,0.005368,-0.965752,0.70,-3.15,-0.77,-0.035136,-0.014640,-1.005768,1.40,-2.80,-0.42
0.880,-0.141032,0.041968,-0.966240,0.49,-2.80,-4.27,-0.035624,-0.013176,-1.006744,1.54,-2.66,-0.42
0.900,-0.168848,0.102480,-0.967216,-0.91,-3.29,-15.61,-0.037088,-0.015616,-1.007232,1.40,-2.73,-0.42
0.920,-0.128344,-0.027816,-0.970632,0.07,-3.71,-21.35,-0.038552,-0.014152,-1.006256,1.33,-3.01,-0.42
0.940,-0.127368,-0.095160,-0.968192,0.70,-1.89,-6.79,-0.038552,-0.016592,-1.007232,1.40,-3.01,-0.42
0.960,-0.146400,-0.048800,-0.974536,1.75,-3.15,6.58,-0.038064,-0.014152,-1.006744,1.40,-2.66,-0.35
0.980,-0.140056,0.012200,-0.966728,1.61,-2.17,7.91,-0.037088,-0.017080,-1.006744,1.47,-2.87,-0.42
1.000,-0.140544,0.032696,-0.963312,2.17,-2.45,-0.49,-0.036600,-0.015616,-1.004304,1.26,-2.73,-0.42
1.020,-0.135664,0.000000,-0.966728,1.47,-2.80,1.05,-0.036112,-0.016592,-1.006744,1.47,-2.59,-0.42
1.040,-0.139080,-0.018056,-0.966728,1.68,-2.94,3.50,-0.037088,-0.015616,-1.007232,1.40,-2.73,-0.42
1.060,-0.139568,-0.022448,-0.967704,1.75,-2.80,7.77,-0.036112,-0.015616,-1.004304,1.40,-2.94,-0.42
