time_s,ax1_g,ay1_g,az1_g,gx1_dps,gy1_dps,gz1_dps,ax2_g,ay2_g,az2_g,gx2_dps,gy2_dps,gz2_dps
0.000,-0.142984,0.001464,-0.968192,1.26,-2.52,0.63,-0.032208,-0.014640,-1.008696,1.47,-2.66,-0.42
0.020,-0.138592,0.003904,-0.961848,1.26,-2.59,0.28,-0.036600,-0.015128,-1.004792,1.33,-2.87,-0.42
0.040,-0.142984,0.004392,-0.969656,1.12,-2.03,0.28,-0.037576,-0.015616,-1.004304,1.33,-2.80,-0.49
0.060,-0.140056,-0.124928,-0.967216,1.26,-2.17,0.14,-0.033184,-0.016104,-1.008208,1.33,-2.80,-0.42
0.080,-0.138592,-0.001464,-0.967704,1.26,-2.94,0.49,-0.035624,-0.011224,-1.003816,1.40,-2.87,-0.42
0.100,-0.142984,0.004392,-0.967216,1.40,-3.15,0.28,-0.036600,-0.017568,-1.007720,1.40,-2.94,-0.35
0.120,-0.142008,0.004392,-0.971608,1.61,-4.06,0.35,-0.032696,-0.014640,-1.007720,1.33,-2.73,-0.35
0.140,-0.142496,-0.001952,-0.963800,1.54,-4.41,0.14,-0.035624,-0.015616,-1.004792,1.40,-2.87,-0.35
0.160,-0.143472,0.001464,-0.967704,1.26,-3.71,0.00,-0.034648,-0.013664,-1.001864,1.54,-3.01,-0.35
0.180,-0.142984,0.000000,-0.964288,0.98,-2.66,-0.14,-0.036600,-0.014152,-1.006256,1.40,-2.80,-0.42
0.200,-0.141520,-0.001464,-0.965752,1.19,-2.24,0.28,-0.037576,-0.017080,-1.002352,1.40,-2.73,-0.42
0.220,-0.145912,0.001952,-0.963312,0.77,-1.12,0.49,-0.034648,-0.017080,-1.006256,1.40,-2.45,-0.42
0.240,-0.140544,0.000976,-0.969168,1.05,-1.40,0.07,-0.034648,-0.013176,-1.005768,1.40,-2.73,-0.35
0.260,-0.140056,-0.001464,-0.968680,0.77,-1.96,0.07,-0.034160,-0.014152,-1.004304,1.40,-2.66,-0.35
0.280,-0.137616,-0.000976,-0.968192,0.84,-2.24,0.42,-0.035136,-0.019520,-1.008208,1.19,-2.80,-0.35
0.300,-0.137616,-0.001464,-0.970632,1.12,-2.31,0.35,-0.037088,-0.011712,-1.008208,1.40,-2.73,-0.42
0.320,-0.141520,0.002440,-0.966728,1.05,-2.73,0.49,-0.036600,-0.014640,-1.006256,1.47,-3.01,-0.42
0.340,-0.144448,0.002440,-0.968680,1.47,-2.73,0.42,-0.035624,-0.014152,-1.005280,1.54,-2.87,-0.42
0.360,-0.141520,-0.002440,-0.965264,1.33,-3.08,0.28,-0.038552,-0.014152,-1.005768,1.26,-2.38,-0.42
0.380,-0.142984,-0.003416,-0.967216,1.12,-3.22,0.35,-0.036112,-0.014152,-1.007232,1.40,-2.66,-0.42
0.400,-0.141032,-0.000488,-0.967704,1.40,-3.08,0.28,-0.035136,-0.014152,-1.006256,1.47,-2.94,-0.42
0.420,-0.139568,0.003904,-0.971120,1.47,-3.29,0.49,-0.034160,-0.016592,-1.005768,1.47,-2.87,-0.42
0.440,-0.140056,0.003904,-0.971608,1.68,-4.83,0.00,-0.036600,-0.016104,-1.002840,1.47,-2.80,-0.49
0.460,-0.143472,0.000976,-0.963312,1.33,-3.99,-0.28,-0.037576,-0.014640,-1.006256,1.40,-3.08,-0.42
0.480,-0.142008,-0.006832,-0.953552,0.56,-1.75,0.56,-0.038552,-0.013664,-1.006256,1.40,-2.87,-0.49
0.500,-0.144936,0.007320,-0.966728,0.77,0.07,0.49,-0.037088,-0.016104,-1.005768,1.47,-2.73,-0.42
0.520,-0.144448,0.001464,-0.969656,0.84,-1.26,0.56,-0.035624,-0.014640,-1.006744,1.40,-2.80,-0.42
0.540,-0.142496,-0.000488,-0.967704,1.19,-2.59,0.21,-0.033672,-0.014152,-1.006744,1.33,-2.87,-0.35
0.560,-0.140056,-0.000976,-0.967704,1.33,-3.08,0.28,-0.031232,-0.012200,-1.004792,1.40,-2.94,-0.49
0.580,-0.138104,0.003416,-0.968680,1.54,-3.92,-0.14,-0.033672,-0.017080,-1.006744,1.40,-2.80,-0.35
0.600,-0.139080,0.001952,-0.974536,1.54,-5.74,-0.21,-0.034648,-0.016104,-1.003328,1.47,-3.08,-0.42
0.620,-0.142008,0.007808,-0.980880,1.96,-7.91,-1.33,-0.035624,-0.013664,-1.006256,1.33,-3.15,-0.28
0.640,-0.059048,0.015616,-0.980880,2.45,-7.42,0.14,-0.038064,-0.010736,-1.007232,1.47,-2.80,-0.35
0.660,-0.137128,-0.012688,-0.955016,3.43,-8.89,-0.21,-0.036600,-0.015616,-1.004792,1.40,-2.66,-0.42
0.680,-0.147376,-0.008296,-0.952088,1.26,-2.03,0.84,-0.036600,-0.014640,-1.005280,1.33,-2.94,-0.42
0.700,-0.149328,0.003416,-0.942816,0.28,3.01,0.49,-0.035136,-0.014640,-1.006744,1.40,-2.80,-0.42
0.720,-0.143960,0.000488,-0.981368,0.00,4.69,0.49,-0.033184,-0.014152,-1.006256,1.47,-2.59,-0.35
0.740,-0.142008,0.001464,-0.985760,0.70,-0.14,0.14,-0.033672,-0.013664,-1.006744,1.40,-2.94,-0.49
0.760,-0.138104,-0.000976,-0.974048,0.70,-1.75,0.42,-0.033672,-0.017080,-1.007720,1.54,-2.94,-0.35
0.780,-0.137128,-0.000976,-0.972584,1.26,-2.38,0.35,-0.037088,-0.015128,-1.005768,1.33,-2.80,-0.42
0.800,-0.141032,0.002440,-0.969168,1.33,-3.43,0.49,-0.037576,-0.014640,-1.005280,1.40,-2.66,-0.35
0.820,-0.143472,0.000976,-0.968680,1.47,-3.78,0.28,-0.038064,-0.015128,-1.004792,1.33,-3.01,-0.35
0.840,-0.141032,0.001464,-0.968680,1.54,-4.27,0.21,-0.036600,-0.014152,-1.005280,1.40,-2.94,-0.49
0.860,-0.144448,-0.001464,-0.968192,0.98,-4.13,-0.07,-0.036600,-0.017568,-1.003328,1.54,-2.52,-0.35
0.880,-0.142984,-0.003416,-0.961848,0.91,-2.52,0.70,-0.033672,-0.016592,-1.003328,1.33,-3.01,-0.28
0.900,-0.141032,0.006832,-0.965752,1.12,-2.38,0.28,-0.034160,-0.014640,-1.004304,1.33,-3.01,-0.35
0.920,-0.138592,-0.001464,-0.963312,0.70,-2.10,0.49,-0.034648,-0.015616,-1.007720,1.33,-2.94,-0.35
0.940,-0.139080,0.002928,-0.973072,1.19,-2.87,0.14,-0.038064,-0.016104,-1.005280,1.33,-3.01,-0.35
0.960,-0.141520,0.007320,-0.971120,0.98,-3.29,-0.77,-0.039040,-0.015616,-1.007720,1.47,-2.94,-0.42
0.980,-0.144448,-0.006832,-0.970144,1.40,-3.71,-0.49,-0.038064,-0.015128,-1.006256,1.40,-2.80,-0.42
1.000,-0.143472,0.002440,-0.963800,0.84,-2.94,0.91,-0.036112,-0.016104,-1.006256,1.47,-2.80,-0.42
1.020,-0.142008,-0.007808,-0.971120,1.33,-2.87,0.35,-0.038064,-0.013664,-1.004304,1.33,-2.94,-0.42
1.040,-0.146400,0.002440,-0.976000,1.26,-4.41,0.21,-0.035624,-0.012688,-1.003816,1.40,-2.59,-0.49
1.060,-0.143960,-0.002440,-0.957456,1.12,-2.17,0.63,-0.037088,-0.013176,-1.004304,1.33,-2.87,-0.49
1.080,-0.142984,0.000000,-0.961360,0.98,0.28,0.42,-0.033184,-0.016104,-1.005280,1.47,-2.87,-0.56
1.100,-0.140056,0.002440,-0.975024,1.05,-1.68,0.42,-0.035624,-0.015616,-1.007720,1.40,-2.80,-0.56
1.120,-0.139568,-0.003416,-0.964288,0.91,-2.24,0.49,-0.035136,-0.011224,-1.003328,1.40,-3.08,-0.70
1.140,-0.142008,0.001952,-0.970144,1.12,-2.31,0.14,-0.034648,-0.013664,-1.002840,1.47,-3.01,-0.63
1.160,-0.139080,0.002440,-0.971608,0.91,-2.94,0.28,-0.035624,-0.017080,-1.007232,1.33,-2.94,-0.70
1.180,-0.139568,-0.001952,-0.966240,1.12,-2.24,0.49,-0.036600,-0.013664,-1.005280,1.33,-2.94,-0.49
1.200,-0.141520,0.006344,-0.965264,1.12,-1.89,0.56,-0.031720,-0.015616,-1.002840,1.33,-2.87,-0.42
1.220,-0.139568,-0.001952,-0.966240,0.98,-2.73,0.42,-0.030744,-0.016104,-1.003328,1.40,-2.94,-0.49
1.240,-0.135664,0.002440,-0.972096,1.26,-2.80,0.35,-0.028304,-0.015616,-1.004304,1.33,-2.80,-0.28
1.260,-0.133224,0.000000,-0.969656,0.84,-3.22,0.42,-0.029768,-0.012200,-1.004792,1.40,-2.87,-0.42
1.280,-0.137616,-0.000976,-0.969656,0.84,-2.73,0.35,-0.034648,-0.016592,-1.001376,1.33,-2.94,-0.42
1.300,-0.138592,0.000488,-0.970144,0.98,-2.80,0.42,-0.035136,-0.015128,-1.005768,1.26,-2.94,-0.35
1.320,-0.139568,0.000000,-0.970144,0.98,-2.94,0.49,-0.036600,-0.016104,-1.003328,1.33,-3.01,-0.35
1.340,-0.141520,0.000488,-0.968192,1.12,-2.52,0.56,-0.036600,-0.014152,-1.004304,1.40,-2.80,-0.35
1.360,-0.141520,0.000976,-0.968192,0.91,-2.87,0.56,-0.032696,-0.011712,-1.003816,1.33,-2.66,-0.42
1.380,-0.138104,-0.001464,-0.972584,1.05,-3.36,0.56,-0.032696,-0.014152,-1.003328,1.54,-2.80,-0.49
1.400,-0.138104,0.000488,-0.971608,0.98,-2.80,0.56,-0.034160,-0.013176,-1.001376,1.47,-3.15,-0.35
1.420,-0.139080,0.124440,-0.968192,0.98,-2.80,0.56,-0.033672,-0.015128,-1.003816,1.47,-2.87,-0.49
1.440,-0.142496,-0.000976,-0.967704,1.19,-3.01,0.70,-0.036600,-0.013664,-1.005768,1.33,-2.80,-0.42
1.460,-0.143472,-0.001952,-0.971120,1.12,-3.92,0.77,-0.039528,-0.013176,-1.002352,1.54,-3.15,-0.49
1.480,-0.145424,0.004392,-0.972096,0.98,-3.78,0.63,-0.033184,-0.015616,-1.006744,1.40,-3.08,-0.42
1.500,-0.142984,-0.006344,-0.962336,0.63,-2.52,0.91,-0.033672,-0.015128,-1.013576,0.49,0.56,-0.35
1.520,-0.139080,0.000000,-0.966240,0.77,-1.96,1.96,-0.030744,-0.016104,-1.006744,5.32,2.31,-0.42
1.540,-0.137616,0.003904,-0.973560,1.26,-2.66,0.56,-0.026840,-0.010736,-1.003816,3.29,-7.91,-0.28
1.560,-0.138104,-0.006832,-0.968192,0.91,-2.38,0.70,-0.011712,-0.017568,-1.005280,1.05,-5.18,-0.28
1.580,-0.134688,-0.008784,-0.964288,0.70,-1.89,2.94,-0.040504,-0.007808,-1.001864,2.31,-6.37,-0.42
1.600,-0.139568,0.002440,-0.970632,1.47,-2.38,3.15,-0.047336,-0.010736,-1.001376,0.98,-3.57,-0.28
1.620,-0.144936,0.009760,-0.970632,1.26,-2.73,1.96,-0.023424,-0.011712,-0.910608,3.99,-5.95,-0.42
1.640,-0.142984,-0.001464,-0.964288,1.33,-2.80,1.68,-0.040992,-0.016104,-1.020896,0.49,0.84,-0.35
1.660,-0.144448,-0.008296,-0.968680,1.47,-2.87,2.73,-0.030256,-0.014152,-1.000400,0.84,-3.36,-0.42
1.680,-0.137128,-0.009272,-0.967704,1.61,-2.94,4.06,-0.032696,-0.013664,-1.010648,1.05,-1.68,-0.42
1.700,-0.142008,-0.023912,-0.967216,2.17,-3.15,6.30,-0.029768,-0.014640,-1.002840,2.38,-3.78,-0.42
1.720,-0.142496,-0.025864,-0.967704,1.33,-3.29,8.05,-0.034648,-0.016104,-1.013088,1.68,-3.36,-0.42
