time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,0.023912,-0.008296,-0.976000,1.26,-2.87,0.35
0.020,0.023912,-0.008296,-0.974536,1.26,-2.87,0.35
0.040,0.024400,-0.008784,-0.973560,1.33,-2.87,0.42
0.060,0.021960,-0.007320,-0.973560,1.26,-2.94,0.42
0.080,0.022936,-0.010736,-0.975512,1.26,-2.94,0.42
0.100,0.022936,-0.008296,-0.976488,1.33,-2.87,0.28
0.120,0.022936,-0.010248,-0.975512,1.26,-2.87,0.35
0.140,0.021960,-0.008784,-0.974536,1.26,-3.01,0.35
0.160,0.023912,-0.008784,-0.975024,1.26,-2.94,0.42
0.180,0.022448,-0.007808,-0.972584,1.33,-2.80,0.42
0.200,0.021472,-0.009760,-0.974048,1.33,-2.94,0.28
0.220,0.024400,-0.005368,-0.976976,1.26,-2.87,0.49
0.240,0.023912,-0.006832,-0.974048,1.26,-2.73,0.49
0.260,0.021960,-0.009272,-0.975024,1.19,-2.94,0.35
0.280,0.022448,-0.009760,-0.974536,1.33,-2.94,0.42
0.300,0.023424,-0.009272,-0.972584,1.33,-2.87,0.42
0.320,0.023424,-0.010248,-0.972584,1.26,-2.94,0.42
0.340,0.022448,-0.010736,-0.976488,1.33,-2.87,0.42
0.360,0.024400,-0.009272,-0.975024,1.26,-3.01,0.28
0.380,0.024400,-0.010736,-0.975512,1.26,-2.94,0.28
0.400,0.024400,-0.009760,-0.975512,1.33,-2.80,0.35
0.420,0.022448,-0.009760,-0.976976,1.26,-2.87,0.35
0.440,0.020984,-0.009760,-0.974536,1.33,-2.80,0.42
0.460,0.021960,-0.009272,-0.973560,1.40,-2.87,0.49
0.480,0.022936,-0.008784,-0.975512,1.33,-2.87,0.42
0.500,0.020984,-0.009272,-0.975024,1.33,-2.87,0.35
0.520,0.023424,-0.009760,-0.975512,1.33,-2.94,0.42
0.540,0.021960,-0.010248,-0.976000,1.26,-2.87,0.35
0.560,0.023912,-0.010736,-0.976000,1.26,-2.94,0.35
0.580,0.023912,-0.009272,-0.975024,1.33,-2.94,0.42
0.600,0.021960,-0.009760,-0.974536,1.33,-2.80,0.42
0.620,0.022448,-0.009272,-0.975512,1.33,-2.94,0.28
0.640,0.022936,-0.006832,-0.974048,1.26,-2.87,0.35
0.660,0.022448,-0.010248,-0.974536,1.26,-3.01,0.35
0.680,0.022936,-0.009272,-0.976488,1.19,-2.80,0.28
0.700,0.021960,-0.010248,-0.975512,1.33,-2.94,0.42
0.720,0.024400,-0.008296,-0.974048,1.26,-2.87,0.42
0.740,0.023424,-0.011712,-0.974048,1.26,-2.94,0.42
0.760,0.022936,-0.009272,-0.975024,1.33,-2.94,0.49
0.780,0.020984,-0.009760,-0.974048,1.33,-2.87,0.35
0.800,0.023424,-0.007808,-0.974048,1.33,-2.94,0.35
0.820,0.022936,-0.007320,-0.973072,1.19,-2.80,0.42
0.840,0.023912,-0.008784,-0.977952,1.26,-2.87,0.42
0.860,0.021960,-0.007808,-0.975024,1.26,-2.87,0.35
0.880,0.023912,-0.009760,-0.976488,1.33,-2.87,0.42
0.900,0.024400,-0.007808,-0.974536,1.33,-2.94,0.42
0.920,0.023912,-0.008784,-0.976488,1.33,-2.87,0.42
0.940,0.022936,-0.007808,-0.973072,1.33,-2.94,0.42
0.960,0.022448,-0.008296,-0.975024,1.19,-2.87,0.42
0.980,0.022936,-0.009760,-0.976976,1.26,-2.94,0.35
1.000,0.022936,-0.010248,-0.973560,1.33,-2.87,0.28
1.020,0.022936,-0.009760,-0.976000,1.33,-2.87,0.42
1.040,0.024400,-0.009760,-0.974048,1.33,-2.87,0.35
1.060,0.022448,-0.008784,-0.976000,1.33,-2.94,0.49
1.080,0.024888,-0.009760,-0.976488,1.26,-2.87,0.28
1.100,0.021960,-0.009760,-0.974536,1.26,-2.87,0.42
1.120,0.021960,-0.010248,-0.975024,1.33,-2.94,0.28
1.140,0.025376,-0.009272,-0.971608,1.26,-3.01,0.35
1.160,0.020496,-0.009760,-0.974536,1.33,-2.87,0.35
1.180,0.023424,-0.007808,-0.975512,1.26,-2.94,0.35
1.200,0.023424,-0.008296,-0.974536,1.26,-3.01,0.28
1.220,0.022936,-0.010248,-0.975512,1.19,-2.94,0.35
1.240,0.022936,-0.007320,-0.974536,1.40,-2.94,0.35
1.260,0.024888,-0.008296,-0.976488,1.26,-2.87,0.42
1.280,0.021472,-0.010248,-0.973560,1.26,-2.87,0.35
1.300,0.022448,-0.009760,-0.973072,1.26,-2.87,0.49
1.320,0.021960,-0.008784,-0.976976,1.19,-3.01,0.28
1.340,0.022448,-0.008784,-0.974048,1.33,-2.87,0.35
1.360,0.020984,-0.007808,-0.975512,1.40,-2.87,0.42
1.380,0.024400,-0.008784,-0.974048,1.33,-2.94,0.28
1.400,0.022448,-0.010248,-0.974536,1.26,-2.94,0.42
1.420,0.022936,-0.010248,-0.975512,1.26,-2.87,0.35
1.440,0.023912,-0.008784,-0.975024,1.26,-2.94,0.28
1.460,0.021472,-0.011712,-0.975512,1.26,-2.87,0.28
1.480,0.021472,-0.008296,-0.975024,1.26,-2.94,0.42
1.500,0.021960,-0.008784,-0.976000,1.33,-3.01,0.28
1.520,0.021472,-0.009760,-0.976488,1.33,-2.80,0.42
1.540,0.022936,-0.009760,-0.975512,1.33,-2.87,0.42
1.560,0.021960,-0.009760,-0.976000,1.26,-2.87,0.42
1.580,0.021472,-0.008784,-0.976488,1.33,-2.94,0.42
1.600,0.023424,-0.008784,-0.974536,1.33,-2.94,0.28
1.620,0.022936,-0.008784,-0.975024,1.26,-2.87,0.63
1.640,0.021960,-0.010248,-0.975512,1.26,-2.94,0.42
1.660,0.021472,-0.008784,-0.975024,1.26,-3.01,0.35
1.680,0.023912,-0.009272,-0.974536,1.26,-2.87,0.35
1.700,0.020984,-0.008784,-0.976000,1.26,-2.87,0.35
1.720,0.022448,-0.009760,-0.976488,1.33,-2.94,0.28
1.740,0.024400,-0.010736,-0.976488,1.33,-3.01,0.35
1.760,0.022448,-0.008784,-0.975024,1.26,-2.94,0.28
1.780,0.022936,-0.009760,-0.977464,1.33,-2.87,0.35
1.800,0.021472,-0.008784,-0.974536,1.33,-2.94,0.35
1.820,0.023912,-0.009272,-0.974536,1.19,-2.94,0.42
1.840,0.021472,-0.010736,-0.976000,1.33,-2.94,0.42
1.860,0.023424,-0.009272,-0.975512,1.33,-2.87,0.42
1.880,0.021960,-0.006832,-0.976488,1.26,-2.87,0.35
1.900,0.021960,-0.009760,-0.976488,1.33,-2.80,0.28
1.920,0.022448,-0.008296,-0.976000,1.19,-2.87,0.35
1.940,0.021960,-0.008784,-0.977464,1.26,-2.87,0.35
1.960,0.021472,-0.010248,-0.976976,1.26,-2.87,0.42
1.980,0.023424,-0.010248,-0.976488,1.33,-2.87,0.42
2.000,0.023424,-0.010248,-0.976000,1.26,-2.87,0.42
2.020,0.024400,-0.010248,-0.976488,1.33,-2.87,0.42
2.040,0.022936,-0.008784,-0.973560,1.33,-2.87,0.35
2.060,0.023424,-0.009272,-0.974048,1.33,-2.80,0.49
2.080,0.024400,-0.009272,-0.975024,1.33,-2.87,0.42
2.100,0.023424,-0.009760,-0.973072,1.26,-2.94,0.49
2.120,0.023424,-0.008296,-0.975512,1.33,-2.87,0.49
2.140,0.024888,-0.009760,-0.975512,1.33,-2.94,0.35
2.160,0.023424,-0.006832,-0.975512,1.33,-2.94,0.42
2.180,0.022936,-0.007808,-0.976488,1.26,-2.87,0.42
2.200,0.022936,-0.009272,-0.977464,1.33,-2.87,0.35
2.220,0.022448,-0.007320,-0.975512,1.33,-2.87,0.35
2.240,0.021960,-0.010248,-0.978440,1.33,-2.94,0.42
2.260,0.021960,-0.008784,-0.975512,1.26,-2.94,0.35
2.280,0.022936,-0.010736,-0.974536,1.33,-2.87,0.42
2.300,0.021960,-0.009272,-0.975512,1.33,-2.87,0.35
2.320,0.020984,-0.011224,-0.975024,1.26,-2.87,0.28
2.340,0.021960,-0.010736,-0.976488,1.26,-3.08,0.49
2.360,0.021960,-0.009760,-0.976488,1.26,-2.87,0.42
2.380,0.023424,-0.010736,-0.974048,1.26,-3.01,0.49
2.400,0.021960,-0.008784,-0.976000,1.26,-2.87,0.42
2.420,0.023424,-0.010248,-0.974048,1.26,-2.87,0.28
2.440,0.021960,-0.011712,-0.976000,1.26,-2.87,0.35
2.460,0.023424,-0.008784,-0.975512,1.26,-2.87,0.56
2.480,0.022448,-0.008784,-0.976488,1.33,-2.87,0.35
2.500,0.025376,-0.010248,-0.976488,1.26,-2.94,0.35
2.520,0.022936,-0.008296,-0.975024,1.33,-2.94,0.42
2.540,0.021960,-0.007808,-0.975024,1.26,-2.87,0.42
2.560,0.021960,-0.010736,-0.976000,1.33,-2.87,0.35
2.580,0.022936,-0.008784,-0.976000,1.33,-2.87,0.35
2.600,0.021960,-0.007320,-0.974048,1.26,-2.87,0.42
2.620,0.022448,-0.008296,-0.975024,1.26,-2.87,0.56
2.640,0.024400,-0.010736,-0.976000,1.33,-2.94,0.42
2.660,0.024888,-0.010248,-0.975024,1.33,-2.87,0.42
2.680,0.021960,-0.009760,-0.976488,1.33,-2.94,0.42
2.700,0.021472,-0.008784,-0.977952,1.26,-2.80,0.42
2.720,0.021472,-0.009272,-0.975512,1.26,-2.94,0.42
2.740,0.022936,-0.009272,-0.975512,1.19,-2.87,0.35
2.760,0.022936,-0.008784,-0.977464,1.19,-2.94,0.35
2.780,0.023424,-0.011712,-0.976488,1.19,-2.94,0.35
2.800,0.023424,-0.008296,-0.976976,1.26,-2.94,0.35
2.820,0.024400,-0.010248,-0.975024,1.40,-2.94,0.42
2.840,0.022936,-0.005368,-0.978928,1.26,-2.80,0.42
