time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
0.000,0.033401,1.001555,0.052764,-0.50,0.29,-0.95,86.98,-1.91,0.00
0.010,0.075032,1.010269,0.035822,-0.62,-0.27,-0.41,87.02,-2.00,-0.00
0.020,0.089070,0.991390,0.035338,-0.37,-0.05,0.78,87.05,-2.13,0.00
0.030,0.076968,1.003492,0.040178,-0.11,0.28,0.70,87.08,-2.22,0.01
0.040,0.034369,0.977836,0.043567,-0.08,0.02,-0.12,87.09,-2.21,0.01
0.050,0.001936,1.113377,0.044535,0.06,-0.24,-0.36,87.12,-2.13,0.01
0.060,0.040662,1.032052,0.046471,-0.50,0.34,-0.65,87.12,-2.13,-0.00
0.070,0.054701,0.951211,0.046471,0.29,-0.19,-0.15,87.13,-2.18,-0.00
0.080,0.116663,1.039797,0.043567,0.20,-0.14,0.51,87.15,-2.35,0.00
0.090,0.100204,0.980256,0.036306,0.26,0.08,0.51,87.18,-2.48,0.01
0.100,0.054701,0.982676,0.040662,0.23,0.04,0.02,87.20,-2.51,0.01
0.110,0.038242,1.001071,0.037758,0.16,-0.15,-0.25,87.23,-2.50,0.01
0.120,0.071643,0.991874,0.033401,0.12,-0.11,-0.07,87.26,-2.57,0.01
0.130,0.115694,0.996231,0.036306,0.09,0.08,0.05,87.29,-2.73,0.01
0.140,0.117147,0.988001,0.034369,0.04,0.03,0.15,87.32,-2.89,0.01
0.150,0.052764,0.996231,0.037274,-0.07,-0.08,0.19,87.34,-2.90,0.01
0.160,0.007261,0.991874,0.037758,-0.03,-0.06,0.23,87.36,-2.80,0.01
0.170,0.033401,0.988485,0.040662,-0.02,0.05,-0.09,87.37,-2.76,0.01
0.180,0.104561,0.984129,0.038242,0.01,-0.06,-0.33,87.39,-2.89,0.01
0.190,0.136026,0.996715,0.038726,0.06,-0.01,-0.11,87.40,-3.09,0.01
0.200,0.104077,0.990422,0.043083,0.11,0.03,0.34,87.41,-3.21,0.01
0.210,0.061478,0.999619,0.041631,0.08,-0.04,0.37,87.42,-3.22,0.01
0.220,0.041631,0.975899,0.037758,0.17,-0.03,-0.06,87.43,-3.19,0.01
0.230,0.060026,0.986065,0.037274,0.15,-0.01,-0.26,87.45,-3.20,0.01
0.240,0.095363,0.988001,0.031465,-0.01,-0.07,-0.17,87.48,-3.29,0.01
0.250,0.133605,0.987033,0.029529,0.10,-0.06,0.07,87.51,-3.47,0.01
0.260,0.106013,0.992842,0.031949,-0.07,0.06,0.18,87.54,-3.57,0.01
0.270,0.066319,0.986549,0.033885,-0.11,0.03,0.10,87.56,-3.58,0.01
0.280,0.048408,0.999135,0.037274,-0.17,0.02,-0.01,87.57,-3.55,0.01
0.290,0.041631,0.984129,0.037758,-0.07,-0.01,-0.06,87.58,-3.51,0.01
0.300,0.100204,0.992842,0.036790,-0.07,-0.04,-0.13,87.59,-3.60,0.01
0.310,0.130701,0.982192,0.040662,-0.15,0.02,-0.04,87.59,-3.76,0.01
0.320,0.092943,0.992358,0.045019,0.03,0.05,0.16,87.58,-3.82,0.01
0.330,0.048408,0.994778,0.044051,0.07,-0.03,0.19,87.58,-3.78,0.01
0.340,0.065350,1.000587,0.046471,0.13,0.01,-0.03,87.57,-3.78,0.01
0.350,0.055669,0.997683,0.040662,0.16,0.07,-0.10,87.57,-3.75,0.01
0.360,0.076484,0.990422,0.041631,0.17,0.01,-0.13,87.58,-3.78,0.01
0.370,0.123924,0.996715,0.039210,0.09,-0.04,-0.04,87.58,-3.91,0.01
0.380,0.088102,0.990422,0.034369,0.18,-0.06,0.11,87.60,-3.96,0.01
0.390,0.036306,0.992358,0.034369,0.09,-0.00,0.15,87.62,-3.88,0.01
0.400,0.049376,0.999135,0.034854,-0.20,0.08,-0.01,87.63,-3.84,0.01
0.410,0.060994,0.994778,0.038726,-0.10,0.01,-0.12,87.64,-3.83,0.01
