time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
0.000,0.030175,0.986534,0.037476,0.05,-0.03,0.01,87.82,-1.75,0.00
0.010,0.030175,0.996755,0.039422,0.07,0.01,0.01,87.82,-1.75,0.00
0.020,0.032122,0.992861,0.035529,0.07,-0.01,0.02,87.83,-1.75,0.00
0.030,0.030662,1.001135,0.037476,0.00,-0.03,-0.00,87.83,-1.75,0.00
0.040,0.030662,0.990915,0.038449,0.02,0.02,0.00,87.83,-1.75,0.00
0.050,0.029202,0.996268,0.035042,0.05,0.02,-0.02,87.83,-1.75,0.00
0.060,0.030662,1.002595,0.037962,0.01,-0.00,0.00,87.83,-1.75,0.00
0.070,0.032122,0.995295,0.035042,0.00,-0.04,0.01,87.84,-1.76,0.00
0.080,0.032609,0.995295,0.035042,-0.03,0.01,0.01,87.85,-1.76,0.00
0.090,0.031635,0.997242,0.039422,-0.07,0.03,-0.04,87.84,-1.76,-0.00
0.100,0.029689,0.998702,0.041856,-0.01,0.02,-0.00,87.83,-1.76,-0.00
0.110,0.034555,1.005515,0.042343,-0.11,-0.01,0.02,87.82,-1.77,0.00
0.120,0.032122,0.999188,0.038936,-0.01,-0.00,0.00,87.82,-1.77,0.00
0.130,0.031635,1.003082,0.041856,-0.06,0.03,0.00,87.81,-1.77,0.00
0.140,0.030175,1.002109,0.039909,-0.04,-0.00,0.01,87.80,-1.77,0.00
0.150,0.030175,0.997242,0.038449,-0.08,-0.01,-0.00,87.80,-1.77,0.00
0.160,0.035529,0.996755,0.037476,-0.01,-0.00,0.00,87.81,-1.78,0.00
0.170,0.031149,1.003082,0.036016,-0.02,0.02,0.02,87.81,-1.78,0.00
0.180,0.030662,1.001135,0.038936,-0.02,-0.01,0.02,87.81,-1.78,0.00
0.190,0.029689,1.002109,0.038449,0.01,-0.00,0.01,87.81,-1.77,0.00
0.200,0.031635,0.999675,0.038449,0.03,-0.02,-0.01,87.81,-1.78,0.00
0.210,0.030662,0.997728,0.041856,-0.07,-0.02,-0.02,87.80,-1.78,0.00
0.220,0.031149,0.998215,0.039422,-0.08,-0.01,-0.01,87.80,-1.78,0.00
0.230,0.028228,0.997242,0.042343,0.03,0.01,0.00,87.79,-1.77,0.00
0.240,0.030175,1.003082,0.042829,0.08,-0.03,0.01,87.78,-1.77,0.00
0.250,0.032122,1.002109,0.040396,0.13,-0.05,-0.01,87.78,-1.77,0.00
0.260,0.030175,0.992375,0.039909,0.09,-0.00,-0.02,87.77,-1.77,0.00
0.270,0.030662,0.999675,0.038936,0.07,-0.01,-0.00,87.77,-1.77,0.00
0.280,0.031149,0.991888,0.037962,0.12,-0.06,-0.01,87.78,-1.77,0.00
0.290,0.029689,0.999675,0.037962,0.02,-0.02,-0.00,87.78,-1.77,-0.00
0.300,0.031149,0.998702,0.037476,0.07,0.01,-0.00,87.78,-1.77,-0.00
0.310,0.028715,0.997242,0.037962,0.00,-0.01,-0.00,87.78,-1.76,-0.00
0.320,0.032122,0.997242,0.036502,-0.05,0.01,0.00,87.79,-1.77,-0.00
0.330,0.030175,0.995781,0.038449,0.00,-0.01,-0.00,87.79,-1.77,-0.00
0.340,0.031635,0.998702,0.040396,-0.08,0.03,-0.00,87.78,-1.77,-0.00
0.350,0.030662,0.998702,0.039422,-0.03,0.02,-0.01,87.78,-1.77,-0.00
0.360,0.029689,0.997728,0.034069,0.03,-0.02,-0.00,87.79,-1.77,-0.00
0.370,0.031149,0.998215,0.038936,0.03,-0.01,-0.01,87.79,-1.77,-0.00
0.380,0.029689,0.995781,0.040396,-0.02,0.01,0.01,87.79,-1.76,-0.00
0.390,0.032609,1.000648,0.041369,-0.05,0.04,0.05,87.78,-1.77,0.00
0.400,0.033582,1.007462,0.039909,-0.01,0.02,0.00,87.78,-1.77,0.00
0.410,0.029689,1.000162,0.039422,0.09,0.03,0.00,87.78,-1.77,0.00
0.420,0.029689,1.005515,0.037476,-0.04,0.03,0.01,87.78,-1.77,0.00
0.430,0.031635,1.001135,0.038936,-0.07,0.02,-0.00,87.78,-1.77,0.00
0.440,0.030175,1.003569,0.039909,-0.02,0.01,-0.02,87.78,-1.77,0.00
0.450,0.030662,1.004542,0.036016,0.01,-0.01,-0.02,87.78,-1.76,-0.00
0.460,0.033582,0.994808,0.036989,-0.03,0.03,0.04,87.79,-1.77,0.00
0.470,0.031149,1.004055,0.039422,-0.08,0.01,0.01,87.79,-1.77,0.00
0.480,0.030662,0.995781,0.038449,-0.01,-0.02,-0.03,87.79,-1.77,0.00
0.490,0.028715,0.997242,0.039909,-0.02,0.01,-0.01,87.78,-1.77,-0.00
0.500,0.030175,0.998215,0.039909,-0.04,0.03,0.02,87.78,-1.76,0.00
0.510,0.031149,0.997728,0.039422,0.02,-0.04,0.00,87.78,-1.77,0.00
0.520,0.030175,0.990915,0.041856,0.06,-0.02,0.01,87.77,-1.77,0.00
0.530,0.030662,1.002109,0.034555,0.02,0.03,0.00,87.78,-1.76,0.00
0.540,0.031635,0.993835,0.031635,0.05,0.03,0.02,87.80,-1.77,0.00
0.550,0.028228,0.990915,0.032609,-0.05,-0.06,-0.00,87.81,-1.76,0.00
0.560,0.028228,0.992861,0.033582,-0.03,-0.04,-0.00,87.82,-1.76,0.00
0.570,0.028715,0.993348,0.033582,0.09,0.01,-0.00,87.83,-1.75,0.00
0.580,0.031635,0.997728,0.036502,0.01,-0.04,0.01,87.83,-1.76,0.00
0.590,0.031635,1.000648,0.037476,-0.02,-0.01,-0.01,87.83,-1.76,0.00
0.600,0.031635,0.994808,0.036989,-0.03,-0.01,0.01,87.83,-1.76,0.00
0.610,0.034069,1.004542,0.041369,0.03,0.04,-0.01,87.83,-1.77,0.00
0.620,0.030175,0.998215,0.038936,0.12,0.03,0.01,87.83,-1.77,0.00
0.630,0.029689,1.000162,0.038449,0.02,-0.00,-0.00,87.82,-1.76,0.00
0.640,0.030175,0.998702,0.036502,0.02,-0.07,-0.00,87.83,-1.76,0.00
0.650,0.029689,0.999675,0.036016,0.05,-0.01,0.02,87.83,-1.76,0.00
0.660,0.029689,0.994808,0.036989,0.04,0.03,0.02,87.83,-1.76,0.00
0.670,0.029202,1.000162,0.037962,0.00,0.02,-0.01,87.83,-1.75,0.00
0.680,0.031149,0.996268,0.039422,-0.01,-0.02,-0.01,87.83,-1.76,0.00
0.690,0.030662,0.993835,0.037962,-0.06,-0.01,0.01,87.83,-1.76,0.00
0.700,0.032122,0.998215,0.038936,-0.16,0.04,-0.01,87.83,-1.76,0.00
0.710,0.030662,1.000162,0.038936,-0.03,-0.00,-0.01,87.82,-1.76,0.00
0.720,0.029202,0.998702,0.035529,-0.02,-0.03,0.02,87.83,-1.76,0.00
0.730,0.030662,0.993835,0.036989,0.01,-0.01,0.02,87.83,-1.76,0.00
0.740,0.031149,1.002109,0.038449,-0.02,0.02,-0.01,87.83,-1.76,0.00
0.750,0.026768,0.997242,0.039909,-0.04,-0.03,0.02,87.82,-1.75,0.00
0.760,0.031635,1.003082,0.038936,-0.09,0.05,-0.00,87.82,-1.75,0.00
0.770,0.032609,1.000648,0.038936,-0.10,0.06,-0.00,87.82,-1.75,0.00
0.780,0.030175,1.008436,0.042343,-0.16,-0.00,0.02,87.81,-1.75,0.00
0.790,0.033095,1.003082,0.041856,-0.07,-0.02,0.03,87.80,-1.76,0.00
0.800,0.031149,1.000648,0.036989,0.00,0.05,-0.00,87.80,-1.76,0.00
0.810,0.030175,0.998215,0.037962,0.02,0.03,-0.01,87.80,-1.76,0.00
0.820,0.031635,1.001622,0.039422,-0.08,0.01,0.01,87.80,-1.76,0.00
0.830,0.029689,1.004055,0.039422,-0.08,-0.01,0.02,87.80,-1.76,0.00
0.840,0.032609,0.997728,0.035529,-0.02,0.03,0.00,87.80,-1.76,0.00
0.850,0.029689,1.000162,0.039909,-0.05,0.03,-0.00,87.80,-1.76,0.00
0.860,0.028228,1.001135,0.041369,0.09,-0.01,0.00,87.79,-1.75,0.00
0.870,0.030175,1.002109,0.036502,0.12,-0.02,0.00,87.80,-1.75,0.00
0.880,0.030175,0.996755,0.038936,-0.01,0.03,0.02,87.80,-1.75,0.00
0.890,0.028715,1.004542,0.038449,-0.01,0.03,-0.00,87.80,-1.75,0.00
0.900,0.026282,0.998702,0.037476,0.05,-0.02,-0.01,87.80,-1.74,0.00
0.910,0.031149,0.999188,0.036502,0.11,-0.04,-0.00,87.81,-1.74,0.00
0.920,0.029202,0.997242,0.039909,0.04,-0.00,0.02,87.80,-1.74,0.00
0.930,0.030662,0.998215,0.037962,0.06,0.01,0.02,87.80,-1.74,0.00
0.940,0.029689,0.995781,0.037476,-0.03,-0.02,0.00,87.81,-1.74,0.00
0.950,0.031635,1.000162,0.036016,-0.01,-0.00,-0.02,87.81,-1.74,0.00
0.960,0.029202,0.994808,0.039909,0.05,-0.02,-0.01,87.81,-1.74,0.00
0.970,0.028228,0.995295,0.033095,0.10,-0.00,0.02,87.82,-1.73,0.00
0.980,0.030175,1.000162,0.037476,-0.06,0.02,0.01,87.82,-1.73,0.00
0.990,0.030662,0.993835,0.036016,0.00,-0.03,0.02,87.82,-1.73,0.00
