time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
0.000,0.078155,-1.026203,0.002913,-0.05,0.04,0.42,-89.84,-4.36,0.00
0.010,0.073786,-0.984455,0.006796,-0.08,0.02,0.07,-89.83,-4.35,0.00
0.020,0.100484,-0.945136,0.000971,-0.16,0.02,0.16,-89.83,-4.42,0.00
0.030,0.101941,-1.006785,-0.001942,-0.12,0.02,-0.12,-89.85,-4.47,0.00
0.040,0.125241,-0.987368,-0.006796,-0.16,-0.04,-0.09,-89.87,-4.59,0.00
0.050,0.138833,-0.988824,-0.009709,-0.12,0.01,0.03,-89.90,-4.72,0.00
0.060,0.145630,-0.992708,-0.012621,0.10,-0.06,-0.01,-89.93,-4.87,0.00
0.070,0.171357,-1.025232,-0.019417,0.11,0.06,0.64,-89.98,-5.05,0.01
0.080,0.150484,-0.972805,-0.007281,0.10,0.03,0.09,-89.99,-5.20,0.01
0.090,0.175726,-1.008727,-0.006311,0.11,-0.28,-0.01,-90.01,-5.39,0.01
0.100,0.193202,-0.965524,0.001942,0.02,0.28,0.21,-90.00,-5.62,0.01
0.110,0.187377,-1.002416,-0.000485,-0.06,-0.10,-0.07,-90.00,-5.82,0.01
0.120,0.208736,-0.984941,-0.008252,-0.08,-0.14,-0.03,-90.02,-6.07,0.01
0.130,0.216503,-0.990281,-0.004369,-0.06,0.04,0.12,-90.03,-6.32,0.01
0.140,0.215532,-0.986883,-0.006796,-0.07,0.09,0.06,-90.05,-6.56,0.01
0.150,0.221357,-0.983970,-0.009709,-0.06,-0.03,-0.00,-90.07,-6.81,0.01
0.160,0.225240,-0.996591,-0.011165,-0.01,-0.03,0.03,-90.09,-7.04,0.01
0.170,0.229609,-0.985426,-0.010194,0.06,-0.02,0.13,-90.11,-7.29,0.01
0.180,0.229609,-0.989310,-0.005825,0.07,0.06,0.04,-90.12,-7.52,0.01
0.190,0.228153,-0.983485,-0.006311,0.05,-0.02,-0.02,-90.13,-7.74,0.01
0.200,0.231065,-0.994650,-0.009223,0.06,0.05,0.03,-90.15,-7.95,0.01
0.210,0.227667,-0.985426,-0.004369,0.08,0.01,0.12,-90.15,-8.15,0.01
0.220,0.221842,-0.990766,-0.004369,0.07,-0.08,0.10,-90.15,-8.33,0.01
0.230,0.219901,-0.990281,-0.002913,0.03,-0.03,-0.01,-90.15,-8.50,0.01
0.240,0.214561,-0.985426,-0.001456,-0.01,0.11,-0.01,-90.15,-8.65,0.01
0.250,0.208736,-0.990766,-0.003398,-0.01,0.03,0.11,-90.15,-8.78,0.02
0.260,0.203881,-0.986883,-0.003883,-0.05,-0.17,0.14,-90.16,-8.90,0.02
0.270,0.200483,-0.995620,-0.004369,-0.03,0.06,0.12,-90.16,-9.00,0.02
0.280,0.174755,-0.965524,-0.006796,-0.20,-0.09,-2.17,-90.17,-9.05,-0.00
0.290,0.171843,-1.015038,-0.013592,-0.10,-0.03,-0.39,-90.20,-9.07,-0.01
0.300,0.180095,-0.981543,-0.013107,0.06,0.13,0.16,-90.22,-9.12,-0.01
