time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
0.000,-0.135027,-0.985302,-0.004892,-0.06,-0.05,0.03,-90.28,7.80,0.00
0.010,-0.137962,-0.994598,-0.003425,-0.04,0.14,0.30,-90.28,7.81,0.00
0.020,-0.146279,-1.016124,-0.001957,-0.06,-0.05,-0.27,-90.28,7.82,0.00
0.030,-0.096378,-0.929531,-0.003914,-0.06,-0.03,-0.02,-90.27,7.75,0.00
0.040,-0.103227,-1.038628,-0.013698,-0.01,0.02,0.52,-90.29,7.66,0.01
0.050,-0.108119,-1.005850,-0.007828,0.01,-0.18,0.12,-90.30,7.60,0.01
0.060,-0.087572,-0.940294,0.007828,-0.14,0.15,-0.07,-90.27,7.51,0.01
0.070,-0.077298,-1.020038,-0.003425,-0.08,0.02,-0.33,-90.27,7.38,0.00
0.080,-0.049412,-0.987749,-0.005871,0.01,-0.11,-0.08,-90.27,7.20,0.00
0.090,-0.042563,-1.011231,-0.009295,0.01,0.02,-0.03,-90.28,7.01,0.00
0.100,-0.010274,-0.958395,-0.002446,-0.02,0.06,0.40,-90.28,6.76,0.01
0.110,-0.027886,-1.012699,0.005871,-0.06,-0.03,0.16,-90.25,6.55,0.01
0.120,0.004403,-0.935891,0.001957,-0.07,-0.01,-0.02,-90.24,6.28,0.01
0.130,0.013209,-1.016124,-0.003425,-0.06,0.06,-0.24,-90.24,6.00,0.00
0.140,0.034735,-0.999001,-0.003914,-0.12,-0.09,-0.16,-90.24,5.67,0.00
0.150,0.048433,-1.002915,-0.005871,-0.16,0.13,-0.03,-90.24,5.34,0.00
0.160,0.075341,-0.963777,-0.015655,-0.30,-0.14,0.34,-90.27,4.94,0.01
0.170,0.072406,-1.003893,-0.014188,-0.01,0.07,0.19,-90.29,4.58,0.01
0.180,0.086104,-1.007318,-0.011741,0.22,-0.04,0.00,-90.31,4.20,0.01
0.190,0.099802,-0.992152,-0.004892,0.11,-0.05,-0.10,-90.31,3.81,0.01
0.200,0.115947,-1.002425,-0.005381,0.08,-0.00,-0.17,-90.30,3.39,0.00
0.210,0.129645,-0.989706,-0.003425,0.09,0.06,-0.09,-90.30,2.96,0.00
0.220,0.136005,-1.006828,-0.006849,0.06,-0.03,-0.08,-90.30,2.53,0.00
0.230,0.178079,-0.932955,0.000489,-0.01,-0.07,0.34,-90.29,2.00,0.01
0.240,0.156553,-1.044499,0.008317,0.08,0.12,0.33,-90.26,1.58,0.01
0.250,0.158999,-0.968180,0.003914,-0.15,-0.01,-0.24,-90.24,1.14,0.01
0.260,0.203029,-1.027376,-0.003914,0.12,-0.05,0.07,-90.24,0.65,0.01
0.270,0.181503,-0.985792,-0.000489,-0.13,0.22,0.11,-90.23,0.21,0.01
0.280,0.195201,-1.007807,-0.007828,-0.20,-0.14,-0.28,-90.24,-0.24,0.01
0.290,0.219174,-0.993619,-0.007828,-0.13,-0.00,-0.07,-90.25,-0.73,0.01
0.300,0.218684,-0.997044,-0.011741,-0.05,0.11,0.12,-90.27,-1.20,0.01
0.310,0.212814,-0.999001,-0.016144,0.03,-0.03,-0.02,-90.29,-1.63,0.01
0.320,0.222109,-0.994598,-0.007828,0.05,-0.16,-0.09,-90.30,-2.07,0.01
0.330,0.229447,-0.996065,-0.008806,0.12,0.09,-0.05,-90.31,-2.50,0.01
0.340,0.226023,-0.997533,-0.005871,0.15,0.06,-0.02,-90.31,-2.91,0.01
0.350,0.227980,-0.998022,-0.001468,0.14,-0.12,0.01,-90.30,-3.31,0.01
0.360,0.224555,-0.994109,0.000978,0.09,-0.07,-0.07,-90.28,-3.69,0.00
0.370,0.225533,-0.996555,0.001957,0.03,0.02,-0.07,-90.27,-4.05,0.00
0.380,0.225044,-0.999001,-0.000489,-0.05,0.08,0.03,-90.26,-4.40,0.00
0.390,0.217217,-0.995087,0.001468,-0.07,0.02,0.04,-90.24,-4.71,0.00
