time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
0.000,0.000981,-1.000626,-0.006870,0.01,0.00,0.00,-90.39,-0.06,0.00
0.010,0.001963,-1.003570,-0.006870,-0.00,-0.01,0.00,-90.39,-0.06,0.00
0.020,0.002454,-0.997681,-0.007852,0.00,-0.00,0.00,-90.40,-0.06,0.00
0.030,0.002944,-1.000135,-0.006380,-0.00,-0.01,0.00,-90.39,-0.07,0.00
0.040,0.000000,-0.999644,-0.007361,0.00,0.00,-0.00,-90.40,-0.06,0.00
0.050,0.002454,-0.999154,-0.006380,0.00,-0.00,0.00,-90.39,-0.07,0.00
0.060,0.000491,-1.001117,-0.008833,-0.00,0.00,0.00,-90.40,-0.07,0.00
0.070,0.003435,-0.999644,-0.008833,-0.01,-0.00,0.01,-90.40,-0.07,0.00
0.080,0.000981,-0.998663,-0.006870,0.00,-0.00,0.00,-90.40,-0.07,0.00
0.090,0.003435,-0.999644,-0.005889,-0.00,0.00,0.00,-90.40,-0.07,0.00
0.100,0.000981,-0.999644,-0.006380,0.01,-0.00,-0.00,-90.40,-0.07,0.00
0.110,0.002944,-0.999644,-0.009324,0.00,-0.00,0.00,-90.40,-0.08,0.00
0.120,0.001472,-1.002098,-0.008833,-0.00,-0.00,-0.00,-90.41,-0.08,0.00
0.130,0.001472,-1.001117,-0.007852,0.00,0.00,0.00,-90.41,-0.08,0.00
0.140,0.002944,-1.000626,-0.007361,0.00,-0.00,-0.00,-90.41,-0.08,0.00
0.150,0.002454,-1.000135,-0.005398,0.00,-0.00,-0.00,-90.41,-0.08,0.00
0.160,0.002944,-0.999154,-0.005889,-0.00,0.00,-0.00,-90.40,-0.09,0.00
0.170,0.003435,-0.998663,-0.005889,-0.00,-0.00,-0.00,-90.40,-0.09,0.00
0.180,0.003926,-1.000626,-0.007852,0.00,0.00,-0.00,-90.40,-0.10,0.00
0.190,0.002944,-1.000626,-0.009324,-0.00,0.00,0.01,-90.41,-0.10,0.00
0.200,0.000491,-1.001117,-0.006870,0.00,0.00,0.00,-90.41,-0.10,0.00
0.210,0.000000,-1.000626,-0.007852,-0.00,0.00,0.01,-90.41,-0.09,0.00
0.220,0.000981,-1.000626,-0.008833,-0.00,-0.00,-0.00,-90.41,-0.09,0.00
0.230,0.003435,-1.000135,-0.006870,-0.00,0.00,-0.01,-90.41,-0.10,0.00
0.240,0.002944,-0.999644,-0.008343,-0.00,0.00,-0.00,-90.42,-0.10,0.00
0.250,0.001963,-1.000626,-0.006380,0.00,0.01,0.00,-90.41,-0.10,0.00
0.260,0.004417,-1.001117,-0.005398,0.00,0.01,-0.00,-90.41,-0.11,0.00
0.270,0.002454,-1.000626,-0.009324,-0.00,-0.00,-0.00,-90.41,-0.11,0.00
0.280,0.004907,-0.999644,-0.006380,0.00,0.01,0.00,-90.41,-0.11,0.00
0.290,0.002944,-0.997681,-0.007852,-0.00,0.00,-0.00,-90.41,-0.12,0.00
0.300,0.003435,-1.000135,-0.008343,-0.00,0.00,0.00,-90.42,-0.12,0.00
0.310,0.002454,-0.998172,-0.009815,0.01,-0.00,-0.00,-90.42,-0.12,0.00
0.320,0.003926,-1.001117,-0.008343,-0.00,0.00,-0.00,-90.42,-0.12,0.00
0.330,0.001472,-1.000135,-0.008833,0.00,0.00,-0.00,-90.43,-0.12,0.00
0.340,0.001472,-0.998172,-0.008343,0.00,-0.00,0.00,-90.43,-0.12,0.00
0.350,0.002944,-0.998663,-0.008833,-0.00,-0.00,-0.00,-90.43,-0.12,0.00
0.360,0.001963,-0.999644,-0.007361,0.00,0.00,0.01,-90.43,-0.12,0.00
0.370,0.000981,-1.000135,-0.007361,-0.00,0.00,-0.01,-90.43,-0.12,0.00
0.380,0.002944,-1.001117,-0.007361,-0.00,0.00,-0.00,-90.43,-0.12,0.00
0.390,0.002944,-1.000626,-0.007361,-0.00,-0.01,0.00,-90.43,-0.12,0.00
0.400,0.002944,-0.998172,-0.006870,-0.00,-0.01,-0.01,-90.43,-0.13,0.00
0.410,0.001472,-1.000626,-0.007852,0.00,-0.00,0.01,-90.43,-0.12,0.00
0.420,0.002454,-0.998172,-0.009324,-0.00,0.00,0.00,-90.43,-0.12,0.00
0.430,0.002944,-0.999154,-0.008343,-0.00,0.00,0.00,-90.44,-0.13,0.00
0.440,0.002454,-1.001607,-0.008833,0.00,-0.00,0.00,-90.44,-0.13,0.00
0.450,0.001963,-0.999154,-0.008833,-0.00,0.00,-0.00,-90.44,-0.13,0.00
0.460,0.003435,-0.998172,-0.005889,-0.00,-0.00,-0.01,-90.44,-0.13,0.00
0.470,0.004417,-0.999644,-0.008343,-0.00,-0.00,-0.00,-90.44,-0.13,0.00
0.480,0.001963,-1.002589,-0.007361,0.00,0.00,0.00,-90.44,-0.13,0.00
0.490,0.002944,-0.999154,-0.005889,-0.00,-0.01,-0.01,-90.43,-0.13,-0.00
0.500,0.001472,-0.999644,-0.007361,-0.00,0.00,-0.00,-90.43,-0.13,-0.00
0.510,0.001963,-1.000626,-0.009324,-0.00,-0.00,0.00,-90.44,-0.13,-0.00
0.520,0.003926,-0.999154,-0.008343,-0.00,0.01,0.00,-90.44,-0.14,0.00
0.530,0.003435,-0.999644,-0.006380,-0.00,0.00,0.00,-90.44,-0.14,0.00
0.540,0.000981,-0.998663,-0.008343,0.00,-0.00,-0.01,-90.44,-0.13,-0.00
0.550,0.002454,-0.999154,-0.009324,0.00,0.00,0.00,-90.44,-0.13,-0.00
0.560,0.000491,-1.001117,-0.010796,0.01,-0.01,-0.01,-90.45,-0.13,-0.00
0.570,0.002944,-1.000135,-0.008833,0.00,0.00,-0.01,-90.45,-0.13,-0.00
0.580,0.002944,-0.999154,-0.006870,0.00,-0.00,-0.00,-90.45,-0.13,-0.00
0.590,0.003435,-0.999154,-0.006870,0.00,-0.00,-0.00,-90.45,-0.14,-0.00
0.600,0.002944,-1.002589,-0.008343,0.00,-0.00,-0.00,-90.45,-0.14,-0.00
0.610,0.001963,-0.999154,-0.007361,0.00,-0.00,-0.00,-90.45,-0.14,-0.00
0.620,0.002454,-0.998663,-0.008343,0.00,-0.00,0.00,-90.45,-0.14,-0.00
0.630,0.002944,-0.999644,-0.008833,-0.00,-0.00,-0.00,-90.45,-0.14,-0.00
0.640,0.003926,-1.000135,-0.006380,0.00,-0.00,-0.00,-90.45,-0.14,-0.00
0.650,0.000491,-0.999154,-0.007361,0.00,0.00,-0.00,-90.45,-0.14,-0.00
0.660,0.000981,-1.001607,-0.009324,-0.00,0.00,-0.00,-90.45,-0.13,-0.00
0.670,0.002454,-0.998663,-0.008833,-0.00,-0.00,-0.00,-90.45,-0.13,-0.00
0.680,0.002944,-1.000135,-0.008343,-0.00,0.00,0.00,-90.45,-0.14,-0.00
0.690,0.001963,-1.002098,-0.008833,0.00,0.00,0.01,-90.46,-0.13,-0.00
0.700,0.000491,-1.000135,-0.005398,-0.00,-0.00,-0.00,-90.45,-0.13,-0.00
0.710,0.004907,-1.000135,-0.006380,-0.00,-0.00,-0.00,-90.45,-0.14,-0.00
0.720,0.001472,-1.000626,-0.008833,-0.01,-0.00,-0.00,-90.45,-0.13,-0.00
0.730,0.002944,-0.999154,-0.008343,0.01,0.00,-0.00,-90.45,-0.14,-0.00
