time_s,ax1_g,ay1_g,az1_g,gx1_dps,gy1_dps,gz1_dps,ax2_g,ay2_g,az2_g,gx2_dps,gy2_dps,gz2_dps
0.000,0.100528,0.145424,0.952576,4.76,-1.89,0.77,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.020,0.096624,0.148840,0.925248,11.83,-2.59,0.42,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.040,0.090768,0.157136,0.904752,22.33,-3.64,-0.28,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.060,0.073688,0.164944,0.848632,32.90,-3.64,-1.05,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.080,0.072224,0.150792,0.768600,46.34,-3.29,-1.61,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.100,0.074176,0.104920,0.762256,63.84,-4.76,-5.67,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.120,0.112240,0.122976,0.945256,81.97,-5.25,-8.96,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.140,0.144448,0.146888,1.105808,99.19,-2.10,-9.31,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.160,0.136152,0.183488,1.218536,102.13,1.40,-14.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.180,0.205448,0.213256,1.597224,85.61,-6.02,-15.12,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.200,0.219112,0.214232,1.837320,43.47,-10.22,-7.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.220,0.215696,0.199104,2.135000,-31.15,-13.09,-2.52,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.240,0.223504,0.250832,2.368752,-107.38,-7.21,4.69,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.260,0.195200,0.243024,2.510760,-188.65,13.58,15.47,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.280,0.228384,0.123464,2.402424,-266.56,30.87,24.08,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.300,0.224480,0.035136,2.331176,-311.43,49.14,31.08,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.320,0.196664,-0.033184,2.503440,-358.19,61.39,37.17,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.340,0.238144,-0.163480,2.849920,-445.48,78.54,43.54,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.360,0.169336,-0.179096,2.931904,-578.48,104.37,54.18,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.380,0.167384,-0.053192,2.594696,-751.03,119.70,64.19,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.400,0.024888,0.303536,1.679208,-911.96,123.69,69.30,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.420,0.169336,0.663192,0.579256,-1079.54,113.33,59.43,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.440,0.058560,0.387472,-0.702232,-1135.68,111.93,56.07,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.460,0.058560,0.187880,0.081984,-1145.76,124.11,62.93,0.000000,0.000000,0.000000,0.00,0.00,0.00
