time_s,ax1_g,ay1_g,az1_g,gx1_dps,gy1_dps,gz1_dps,ax2_g,ay2_g,az2_g,gx2_dps,gy2_dps,gz2_dps
0.000,-0.244000,0.016104,-0.930128,-1.33,-2.73,5.74,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.020,-0.244000,0.020008,-0.932080,-3.22,-2.38,5.25,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.040,-0.245952,0.016104,-0.927200,-4.97,-1.89,4.62,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.060,-0.250832,0.009272,-0.902800,-5.60,-1.26,4.13,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.080,-0.259616,0.003904,-0.883768,-8.26,-0.35,3.71,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.100,-0.263520,-0.010248,-0.898408,-10.57,0.49,3.85,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.120,-0.251808,-0.001464,-0.902312,-10.50,0.70,3.71,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.140,-0.251320,-0.000976,-0.897432,-10.57,-0.28,3.15,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.160,-0.261080,0.000488,-0.889624,-9.38,-3.43,2.03,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.180,-0.260592,-0.002440,-0.880840,-9.10,-8.75,1.54,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.200,-0.269376,-0.012688,-0.880840,-8.68,-17.50,1.33,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.220,-0.278648,-0.006832,-0.886208,-4.83,-27.65,2.45,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.240,-0.285480,0.005368,-0.898896,-1.47,-40.18,6.58,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.260,-0.304512,0.006344,-0.892064,-0.84,-55.37,9.24,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.280,-0.313784,0.014640,-0.895480,-1.54,-68.39,7.91,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.300,-0.290360,0.021960,-0.924760,-0.56,-78.89,7.00,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.320,-0.260592,0.028792,-0.938424,-1.61,-84.00,7.35,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.340,-0.280112,0.062952,-0.951600,-4.55,-80.85,7.98,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.360,-0.312808,0.101504,-0.985760,-7.56,-70.91,9.10,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.380,-0.361120,0.120048,-1.021872,-14.21,-57.33,8.33,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.400,-0.446032,0.147376,-1.074576,-15.40,-40.18,7.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.420,-0.500200,0.153232,-1.158024,-8.47,-23.73,6.30,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.440,-0.487024,0.122976,-1.219512,-2.73,-6.02,5.53,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.460,-0.437248,0.134200,-1.327360,-0.07,16.31,2.38,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.480,-0.414800,0.129320,-1.508408,14.00,41.44,-1.82,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.500,-0.382592,0.164944,-1.695800,24.99,72.38,-0.84,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.520,-0.349896,0.122488,-1.852448,21.21,117.25,1.05,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.540,-0.369416,0.092232,-1.930040,21.98,163.24,-3.43,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.560,-0.392840,0.101504,-2.025200,24.43,213.29,-11.34,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.580,-0.332328,0.066368,-2.193560,21.14,281.19,-10.71,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.600,-0.314272,0.014640,-2.262368,6.02,352.80,-6.51,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.620,-0.106872,0.161528,-2.312144,-9.10,441.21,8.96,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.640,0.074664,0.234728,-2.260416,-13.86,525.21,25.97,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.660,0.141520,0.104432,-2.093032,2.66,619.99,24.50,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.680,0.164944,-0.021960,-1.716784,39.27,698.67,26.60,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.700,0.035136,-0.149328,-1.000888,75.95,773.50,43.47,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.720,0.031232,-0.062952,0.210816,136.36,793.17,36.05,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.740,0.037576,-0.000976,0.007320,35.35,828.03,41.72,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.760,-0.015616,0.006344,-0.148840,33.67,806.54,48.37,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.780,0.009272,0.014152,-0.067832,6.79,808.85,55.09,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.800,-0.001464,0.017568,-0.060512,-6.37,805.91,62.58,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.820,0.004392,0.019520,-0.077592,-27.51,803.81,73.43,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.840,0.006344,0.022448,-0.063928,-48.51,800.52,84.63,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.860,0.011712,0.028304,-0.059536,-71.75,795.76,100.03,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.880,0.017080,0.031720,-0.059536,-101.92,789.95,115.99,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.900,0.016592,0.039040,-0.059048,-132.09,782.67,136.92,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.920,0.017568,0.046848,-0.067344,-165.62,771.47,158.48,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.940,0.018544,0.053192,-0.078568,-208.32,758.24,182.56,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.960,0.016104,0.065880,-0.093208,-251.02,741.51,213.22,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.980,0.016104,0.075640,-0.104920,-298.34,716.45,243.46,0.000000,0.000000,0.000000,0.00,0.00,0.00
