time_s,ax1_g,ay1_g,az1_g,gx1_dps,gy1_dps,gz1_dps,ax2_g,ay2_g,az2_g,gx2_dps,gy2_dps,gz2_dps
0.000,0.373808,-0.018544,0.931592,-3.99,-7.84,-5.04,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.020,0.366000,-0.007808,0.917440,-3.92,-9.03,-5.39,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.040,0.364048,-0.009272,0.915488,-4.62,-9.59,-4.48,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.060,0.374784,-0.005368,0.902800,-5.04,-9.66,-3.08,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.080,0.374296,-0.004392,0.898896,-5.11,-9.87,-1.82,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.100,0.378688,-0.006344,0.906704,-4.06,-10.15,-0.98,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.120,0.384544,-0.017080,0.908168,-4.69,-11.90,-1.40,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.140,0.378200,-0.011712,0.870592,-6.37,-15.33,-0.56,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.160,0.404552,-0.027328,0.841800,-4.48,-21.35,-1.54,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.180,0.428464,-0.019032,0.793976,-2.17,-27.37,-3.15,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.200,0.427488,-0.031720,0.701744,-1.05,-34.58,-3.64,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.220,0.427488,-0.039528,0.603656,0.00,-43.05,-2.80,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.240,0.438712,-0.044408,0.536800,3.08,-53.97,-0.35,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.260,0.421144,-0.026352,0.541192,10.99,-69.51,1.96,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.280,0.424560,-0.026352,0.575352,20.51,-86.80,2.87,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.300,0.451400,-0.031232,0.638792,22.26,-104.79,2.73,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.320,0.488000,-0.027328,0.687592,15.40,-123.06,1.54,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.340,0.567544,-0.033672,0.736880,17.50,-135.87,3.08,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.360,0.673440,-0.019520,0.832528,24.36,-144.13,4.06,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.380,0.730536,0.006344,1.019920,22.47,-145.60,3.85,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.400,0.817400,0.077592,1.327848,14.70,-138.53,5.18,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.420,0.961848,0.151280,1.559160,6.72,-114.03,6.58,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.440,1.115080,0.134200,1.786568,1.47,-76.16,5.04,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.460,1.276120,0.141520,2.018368,-0.77,-17.78,1.12,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.480,1.414224,0.159576,2.272128,-5.46,41.51,-6.16,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.500,1.496696,0.147376,2.375584,4.13,106.19,-11.13,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.520,1.539640,0.228384,2.416576,28.28,189.49,-19.04,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.540,1.554280,0.300120,2.552240,54.88,270.20,-31.92,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.560,1.489864,0.347456,2.680584,80.29,352.38,-48.30,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.580,1.316624,0.266936,2.639592,89.11,437.29,-59.43,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.600,1.128744,0.312808,2.648864,90.09,502.46,-71.05,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.620,0.846680,0.417728,2.631296,99.33,572.60,-86.52,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.640,0.640744,0.367952,2.421456,121.94,635.81,-89.39,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.660,0.422608,0.383568,2.080832,123.13,708.47,-81.20,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.680,0.068320,0.295240,1.274168,61.11,782.11,-93.24,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.700,0.111752,0.039040,0.334768,3.01,850.64,-89.81,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.720,0.043920,-0.053192,-0.072712,49.63,852.04,-77.49,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.740,0.011712,-0.014152,0.009272,98.49,837.20,-77.63,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.760,0.014640,-0.020496,-0.062952,112.63,835.94,-77.42,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.780,0.004392,-0.021960,-0.058560,138.53,839.09,-79.87,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.800,0.000000,-0.022448,-0.085400,158.27,837.62,-84.00,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.820,-0.002440,-0.020496,-0.063928,182.84,831.88,-91.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.840,-0.007320,-0.020984,-0.063928,206.57,823.06,-99.82,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.860,-0.013176,-0.022448,-0.074176,230.37,810.60,-112.28,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.880,-0.020008,-0.024400,-0.084424,259.84,798.35,-125.86,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.900,-0.025376,-0.024400,-0.085888,288.12,784.77,-144.34,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.920,-0.032208,-0.026352,-0.081496,319.48,767.41,-163.87,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.940,-0.040504,-0.022936,-0.071248,359.38,749.14,-186.76,0.000000,0.000000,0.000000,0.00,0.00,0.00
