time_s,ax1_g,ay1_g,az1_g,gx1_dps,gy1_dps,gz1_dps,ax2_g,ay2_g,az2_g,gx2_dps,gy2_dps,gz2_dps
0.000,0.713944,-0.168360,0.009760,-12.39,-1.05,-46.76,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.020,0.646600,-0.136152,-0.000976,-19.25,-5.67,-61.32,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.040,0.656360,-0.140544,-0.033672,-20.02,-8.75,-73.71,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.060,0.681736,-0.081984,-0.028304,-14.70,-11.34,-83.79,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.080,0.715896,-0.070272,-0.056120,-8.40,-16.73,-95.27,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.100,0.841800,-0.076616,-0.064904,-0.91,-22.89,-100.10,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.120,1.012112,-0.080032,-0.045384,5.74,-23.31,-96.81,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.140,1.226344,-0.274256,-0.016592,8.68,-11.97,-74.20,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.160,1.463512,-0.521184,-0.093208,2.31,-4.48,-37.66,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.180,1.654808,-0.792024,-0.055632,-18.90,9.73,4.76,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.200,1.900272,-0.952576,0.004392,-9.52,9.59,29.05,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.220,2.054480,-1.010648,-0.099064,-5.04,14.14,62.37,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.240,2.382416,-1.124840,-0.022936,-2.10,26.67,106.96,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.260,2.626904,-1.170712,-0.015128,4.06,27.02,179.69,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.280,2.734752,-1.180960,0.030256,0.49,25.90,291.48,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.300,2.717672,-1.252208,0.049288,-9.31,19.39,392.42,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.320,2.656672,-1.190720,0.043432,-16.38,23.52,478.87,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.340,2.411696,-0.973560,0.063928,-12.46,31.50,556.78,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.360,2.080344,-0.671488,-0.103944,-20.51,18.20,622.02,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.380,1.390800,-0.533872,-0.238632,-27.58,-35.28,680.89,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.400,0.609024,0.018056,0.073688,-38.99,-70.21,717.57,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.420,0.002440,0.078568,0.013176,-17.36,-102.27,722.05,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.440,-0.012688,0.062952,0.047336,10.64,-118.23,718.48,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.460,-0.009272,0.058072,0.028304,41.72,-124.25,716.10,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.480,-0.002440,0.058072,0.024400,70.00,-123.48,713.44,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.500,0.003416,0.058560,0.025864,97.58,-115.29,711.62,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.520,0.011224,0.062952,0.022448,125.72,-101.71,710.36,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.540,0.016104,0.068808,0.026840,146.79,-83.09,709.24,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.560,0.017568,0.072712,0.027328,164.57,-57.12,708.47,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.580,0.019520,0.081008,0.029768,174.23,-31.01,707.84,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.600,0.019520,0.087840,0.028304,177.52,-0.21,707.28,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.620,0.019520,0.096136,0.028792,173.95,26.95,707.00,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.640,0.017080,0.101504,0.022936,164.08,55.44,706.86,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.660,0.015128,0.106872,0.027816,146.79,77.70,707.00,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.680,0.008784,0.109312,0.025864,126.42,95.69,707.56,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.700,0.005856,0.110776,0.024888,102.69,109.76,708.61,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.720,0.000488,0.111264,0.026840,73.64,116.13,710.22,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.740,-0.003416,0.112240,0.030256,46.83,116.41,711.97,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.760,-0.006344,0.111264,0.031720,20.79,109.48,714.07,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.780,-0.013176,0.108336,0.039040,-6.02,97.30,716.45,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.800,-0.017568,0.104920,0.038064,-26.04,80.64,718.13,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.820,-0.020008,0.096624,0.035624,-43.40,56.35,719.67,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.840,-0.022936,0.092720,0.033184,-53.06,31.92,720.44,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.860,-0.027328,0.084424,0.025864,-57.19,2.73,720.44,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.880,-0.028304,0.075640,0.025864,-54.74,-23.03,719.74,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.900,-0.026840,0.068808,0.015128,-47.11,-49.91,718.06,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.920,-0.023912,0.063440,0.016104,-32.62,-71.12,715.96,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.940,-0.025864,0.056120,0.011224,-15.33,-106.26,713.30,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.960,0.673928,-1.309304,-2.293112,103.11,-159.67,687.54,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.980,-7.292672,-5.243072,0.934520,69.16,-136.36,290.57,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.000,-0.002928,-1.258064,-0.455792,81.20,-91.00,-50.82,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.020,-0.729560,-1.167296,0.153232,-31.71,-52.01,-317.73,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.040,-0.923296,-1.723128,0.334768,-21.49,-37.31,-387.59,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.060,-1.056032,-2.194536,0.386496,-1.96,-7.84,-264.18,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.080,-1.105808,-2.129632,0.313296,-14.91,-2.31,-93.94,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.100,-1.275144,-1.705560,0.210816,-26.53,13.65,4.90,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.120,-1.234640,-1.269288,0.112728,-38.85,22.26,7.77,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.140,-0.991616,-1.113128,0.245464,-68.81,0.77,-24.08,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.160,-0.813008,-1.235128,0.139568,-45.01,-15.75,-36.40,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.180,-0.711992,-1.274656,0.183488,-5.74,-16.94,-14.91,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.200,-0.663680,-1.178032,0.185440,10.92,-10.29,18.34,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.220,-0.600240,-1.116056,0.163480,10.99,-4.97,34.72,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.240,-0.525088,-1.049200,0.137616,3.85,3.01,28.91,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.260,-0.402112,-0.982344,0.126880,-0.14,11.06,22.89,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.280,-0.286456,-0.892552,0.110288,-5.53,18.83,23.80,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.300,-0.271816,-0.813496,0.052704,-8.96,26.95,24.08,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.320,-0.286944,-0.806176,0.011224,-1.75,27.65,18.69,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.340,-0.280112,-0.802272,0.004880,7.70,19.04,9.80,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.360,-0.274256,-0.826184,0.016104,12.95,10.99,0.70,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.380,-0.272792,-0.820816,0.029280,10.08,9.38,-0.28,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.400,-0.289872,-0.827648,0.025864,5.18,11.48,2.03,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.420,-0.304512,-0.847656,0.024888,0.91,11.97,-2.73,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.440,-0.323056,-0.859856,0.020496,-0.77,10.01,-11.13,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.460,-0.334280,-0.872544,0.031232,1.26,2.31,-13.02,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.480,-0.346968,-0.882792,0.028792,6.30,-5.46,-13.16,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.500,-0.340624,-0.902800,0.020984,5.11,-9.10,-13.58,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.520,-0.375760,-0.908656,0.039528,0.70,-10.85,-13.79,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.540,-0.375760,-0.941352,0.054656,3.15,-13.58,-11.83,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.560,-0.381616,-0.951112,0.059536,6.86,-16.10,-8.47,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.580,-0.378200,-0.953552,0.053680,5.46,-13.51,-3.92,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.600,-0.376736,-0.965264,0.045384,2.03,-7.70,1.05,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.620,-0.391864,-0.974048,0.055632,-0.07,-4.41,1.96,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.640,-0.393816,-0.976000,0.045384,1.75,-3.50,1.26,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.660,-0.399184,-0.995520,0.034160,3.57,-3.22,1.12,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.680,-0.401624,-1.007720,0.039040,3.15,-3.01,1.19,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.700,-0.407480,-1.005768,0.038552,1.82,-2.52,5.18,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.720,-0.411384,-0.994544,0.036600,1.33,-2.31,10.57,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.740,-0.411384,-0.973560,0.037088,1.68,-3.71,15.05,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.760,-0.413824,-0.954528,0.038064,3.78,-5.11,15.89,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.780,-0.406504,-0.941352,0.044408,4.76,-5.88,14.70,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.800,-0.406992,-0.924760,0.044896,2.59,-5.11,15.05,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.820,-0.409432,-0.911584,0.056120,-1.12,-3.71,17.99,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.840,-0.411872,-0.913048,0.065880,0.21,-3.71,18.62,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.860,-0.416264,-0.903776,0.065392,3.29,-4.97,17.71,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.880,-0.426024,-0.889136,0.060512,4.76,-6.65,17.50,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.900,-0.433344,-0.882792,0.059536,4.55,-7.35,16.24,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.920,-0.438712,-0.884256,0.062464,4.97,-6.51,15.40,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.940,-0.443592,-0.884744,0.062464,5.53,-5.39,16.38,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.960,-0.442616,-0.892064,0.068808,4.90,-5.60,16.52,0.000000,0.000000,0.000000,0.00,0.00,0.00
1.980,-0.447008,-0.899384,0.068808,4.90,-6.44,14.91,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.000,-0.454328,-0.900848,0.068320,6.30,-7.21,14.56,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.020,-0.449936,-0.901824,0.077104,7.21,-7.91,16.17,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.040,-0.448472,-0.904752,0.084424,7.98,-7.49,17.64,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.060,-0.458232,-0.892064,0.080520,7.49,-6.86,18.13,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.080,-0.471408,-0.887672,0.082472,5.81,-6.44,17.08,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.100,-0.464088,-0.898896,0.078568,4.20,-5.39,15.96,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.120,-0.472872,-0.909144,0.090280,4.20,-3.64,16.59,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.140,-0.480680,-0.932080,0.089792,4.41,-2.73,19.88,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.160,-0.492880,-0.925736,0.103456,4.83,-2.73,26.74,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.180,-0.493856,-0.940376,0.101504,4.34,-3.78,31.15,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.200,-0.502152,-0.993080,0.107848,2.66,-4.55,33.04,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.220,-0.543144,-1.014552,0.116144,3.43,-3.99,38.15,0.000000,0.000000,0.000000,0.00,0.00,0.00
2.240,-0.566080,-0.961848,0.107848,6.37,-1.61,48.16,0.000000,0.000000,0.000000,0.00,0.00,0.00
