time_s,ax1_g,ay1_g,az1_g,gx1_dps,gy1_dps,gz1_dps,ax2_g,ay2_g,az2_g,gx2_dps,gy2_dps,gz2_dps
0.000,-0.100528,-0.015128,-0.965264,0.84,-2.94,0.28,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.020,-0.103944,-0.014152,-0.968680,1.68,-3.08,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.040,-0.101992,-0.014152,-0.972096,1.12,-2.94,0.35,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.060,-0.101992,-0.014152,-0.965752,1.54,-3.08,0.14,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.080,-0.102968,-0.013664,-0.967704,1.12,-3.01,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.100,-0.104920,-0.011712,-0.968680,1.75,-3.01,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.120,-0.102480,-0.015128,-0.967704,1.33,-2.87,0.28,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.140,-0.102480,-0.015128,-0.965752,1.54,-3.15,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.160,-0.103456,-0.015128,-0.968192,1.40,-2.73,0.42,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.180,-0.102968,-0.013176,-0.967704,1.61,-3.08,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.200,-0.101504,-0.014640,-0.962824,1.26,-3.01,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.220,-0.102968,-0.012688,-0.971120,1.33,-3.01,0.42,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.240,-0.102968,-0.015128,-0.966240,1.47,-2.94,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.260,-0.101016,-0.013664,-0.970144,1.19,-2.87,0.14,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.280,-0.101992,-0.013664,-0.966728,1.33,-3.15,0.07,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.300,-0.102968,-0.015616,-0.970144,1.19,-2.80,0.28,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.320,-0.100528,-0.012200,-0.965264,1.61,-3.15,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.340,-0.103944,-0.015616,-0.974048,0.84,-3.08,0.07,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.360,-0.102968,-0.014152,-0.965752,1.54,-3.15,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.380,-0.103456,-0.014640,-0.971608,1.05,-2.80,0.21,0.000000,0.000000,0.000000,0.00,0.00,0.00
