time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,-0.023424,0.008296,1.047736,-0.35,-26.74,0.84
0.010,-0.022448,0.008296,1.048712,-0.28,-26.67,0.91
0.020,-0.023424,0.008296,1.051152,-0.42,-26.39,0.91
0.030,-0.021960,0.006344,1.052616,-0.28,-26.11,1.05
0.040,-0.020496,0.010736,1.048224,-0.28,-25.76,0.91
0.050,-0.019520,0.007320,1.050664,-0.42,-25.48,0.91
0.060,-0.018544,0.010248,1.050664,0.07,-25.06,0.98
0.070,-0.017080,0.007320,1.048224,-0.49,-24.43,0.84
0.080,-0.016104,0.008296,1.047248,0.21,-24.08,0.77
0.090,-0.017568,0.008784,1.052128,-0.35,-23.45,0.77
0.100,-0.017080,0.007320,1.048224,0.14,-22.89,0.84
0.110,-0.013176,0.008784,1.048712,0.00,-21.91,0.77
0.120,-0.014152,0.006344,1.049688,0.00,-21.21,0.77
0.130,-0.012200,0.011224,1.050664,0.56,-20.58,0.77
0.140,-0.010736,0.007808,1.046272,-0.21,-19.67,0.84
0.150,-0.015128,0.008296,1.047248,0.63,-18.90,0.77
0.160,-0.012200,0.009760,1.049200,0.07,-17.85,0.77
0.170,-0.010248,0.007320,1.045296,0.49,-17.01,0.70
0.180,-0.010248,0.007808,1.048712,0.56,-16.10,0.70
0.190,-0.009272,0.006832,1.046760,0.42,-14.77,0.70
0.200,-0.010736,0.007808,1.045296,0.77,-13.86,0.63
0.210,-0.009760,0.006832,1.045296,0.49,-12.74,0.63
0.220,-0.008296,0.006832,1.046760,0.77,-11.69,0.63
0.230,-0.009272,0.006344,1.045784,0.77,-10.64,0.63
0.240,-0.009760,0.004880,1.043344,0.91,-9.66,0.56
0.250,-0.007320,0.007320,1.048712,0.98,-8.19,0.42
0.260,-0.007320,0.006344,1.046760,0.91,-7.07,0.42
0.270,-0.007320,0.006344,1.042856,0.98,-5.95,0.56
0.280,-0.006344,0.007320,1.045296,1.19,-4.76,0.56
0.290,-0.005856,0.008296,1.046272,1.26,-3.57,0.49
0.300,-0.007320,0.007320,1.043832,1.26,-2.45,0.49
0.310,-0.006832,0.006344,1.044320,1.47,-1.12,0.49
0.320,-0.005856,0.009272,1.046272,1.40,0.00,0.35
0.330,-0.008296,0.007320,1.044320,1.68,1.26,0.49
0.340,-0.007808,0.008296,1.044320,1.61,2.38,0.42
0.350,-0.007808,0.009272,1.045784,1.82,3.43,0.35
