time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,0.030744,-0.030256,1.043832,1.33,-2.94,0.56
0.010,0.029768,-0.029280,1.042368,1.26,-3.01,0.56
0.020,0.029768,-0.031232,1.043344,1.40,-2.94,0.42
0.030,0.029768,-0.031232,1.044320,1.40,-2.94,0.56
0.040,0.028792,-0.030744,1.043344,1.26,-2.94,0.42
0.050,0.029768,-0.030744,1.043344,1.33,-3.08,0.42
0.060,0.028792,-0.029280,1.045784,1.33,-2.94,0.49
0.070,0.031232,-0.030744,1.042856,1.33,-2.94,0.28
0.080,0.030744,-0.030744,1.045296,1.40,-2.94,0.56
0.090,0.029280,-0.029768,1.045296,1.19,-2.87,0.49
0.100,0.033672,-0.029768,1.042368,1.40,-3.01,0.42
0.110,0.031720,-0.030744,1.042856,1.26,-3.01,0.56
0.120,0.030744,-0.030256,1.042368,1.40,-3.01,0.63
0.130,0.030256,-0.030744,1.042368,1.26,-2.94,0.49
0.140,0.031232,-0.030744,1.042856,1.47,-3.08,0.42
0.150,0.031720,-0.030744,1.044808,1.33,-3.01,0.49
0.160,0.033184,-0.032696,1.044808,1.26,-2.94,0.49
0.170,0.033184,-0.030744,1.043832,1.33,-2.94,0.49
0.180,0.029280,-0.031720,1.044808,1.26,-3.01,0.42
0.190,0.031232,-0.031232,1.045296,1.40,-3.01,0.56
0.200,0.031720,-0.031232,1.043832,1.26,-3.08,0.56
0.210,0.030256,-0.031720,1.044320,1.33,-3.01,0.42
0.220,0.028304,-0.029280,1.043832,1.33,-2.94,0.49
0.230,0.030256,-0.032696,1.044320,1.40,-2.94,0.49
0.240,0.030256,-0.032696,1.042368,1.40,-3.01,0.56
0.250,0.032696,-0.031720,1.044320,1.19,-2.94,0.56
0.260,0.031232,-0.030744,1.042368,1.40,-3.01,0.49
0.270,0.030744,-0.029280,1.043832,1.40,-3.01,0.49
0.280,0.032208,-0.030256,1.043344,1.33,-3.01,0.35
0.290,0.031232,-0.029768,1.044808,1.40,-3.01,0.49
0.300,0.031720,-0.031232,1.043832,1.33,-2.94,0.42
0.310,0.031232,-0.028792,1.042368,1.33,-3.08,0.42
0.320,0.031232,-0.031232,1.041392,1.33,-2.94,0.49
0.330,0.028792,-0.029768,1.044320,1.26,-3.01,0.49
0.340,0.029768,-0.029768,1.044320,1.33,-3.01,0.49
0.350,0.030256,-0.032696,1.045296,1.33,-3.01,0.49
0.360,0.029768,-0.030256,1.042856,1.33,-2.94,0.49
0.370,0.031720,-0.031232,1.043344,1.26,-2.94,0.42
0.380,0.030256,-0.029280,1.042856,1.33,-3.01,0.42
0.390,0.027328,-0.031720,1.046272,1.40,-3.01,0.49
0.400,0.030256,-0.028304,1.046760,1.12,-2.87,0.49
0.410,0.030744,-0.029280,1.041880,1.12,-2.94,0.42
0.420,0.030744,-0.029768,1.043344,1.40,-3.01,0.42
0.430,0.028792,-0.029768,1.045784,1.26,-2.94,0.56
